Date,Open,High,Low,Close,Volume
2021-01-04,13.076,13.6525,12.9625,13.076,560640000
2021-01-05,13.3664,13.4435,13.087,13.3664,322760000
2021-01-06,12.5784,13.245,12.586,12.5784,580424000
2021-01-07,13.3059,13.3778,12.8865,13.3059,461480000
2021-01-08,13.2388,13.421,13.042,13.2388,292528000
2021-01-11,13.5826,13.961,13.3625,13.5826,518344000
2021-01-12,13.4462,13.7545,13.345,13.4462,291476000
2021-01-13,13.4931,13.625,13.385,13.4931,210028000
2021-01-14,13.1625,13.5997,13.1805,13.1625,283120000
2021-01-15,12.8227,13.3252,12.8485,12.8227,277780000
2021-01-19,12.988,13.094,12.844,12.988,226188000
2021-01-20,13.3275,13.4305,13.0568,13.3275,258572000
2021-01-21,13.8279,13.9993,13.253,13.8279,337780000
2021-01-22,13.6733,13.8418,13.6272,13.6733,246820000
2021-01-25,13.6142,13.8285,13.2365,13.6142,251112000
2021-01-26,13.3969,13.6447,13.3875,13.3969,163980000
2021-01-27,12.8808,13.2327,12.7937,12.8808,371272000
2021-01-28,13.0137,13.3398,12.9605,13.0137,228316000
2021-01-29,12.9526,13.3348,12.9115,12.9526,271552000
2021-02-01,13.1992,13.2708,12.9028,13.1992,217204000
2021-02-02,13.518,13.572,13.2855,13.518,220440000
2021-02-03,13.4918,13.9318,13.5165,13.4918,245408000
2021-02-04,13.6252,13.6735,13.3378,13.6252,201340000
2021-02-05,13.5522,13.7373,13.5457,13.5522,169152000
2021-02-08,14.3975,14.4738,13.7273,14.3975,434624000
2021-02-09,14.2225,14.5833,14.2225,14.2225,287560000
2021-02-10,14.722,14.905,14.3415,14.722,485352000
2021-02-11,15.2072,15.2723,14.925,15.2072,450828000
2021-02-12,14.9185,15.2913,14.775,14.9185,374756000
2021-02-16,15.2864,15.3725,14.95,15.2864,321960000
2021-02-17,14.8634,15.2235,14.78,14.8634,274756000
2021-02-18,14.7866,14.8733,14.575,14.7866,233868000
2021-02-19,14.8838,15.177,14.8468,14.8838,271724000
2021-02-22,14.3147,15.1333,14.325,14.3147,325884000
2021-02-23,14.1016,14.2388,13.3895,14.1016,391780000
2021-02-24,14.4576,14.5068,13.756,14.4576,448320000
2021-02-25,13.2695,14.3748,13.2163,13.2695,824436000
2021-02-26,13.6753,13.8545,13.361,13.6753,500932000
2021-03-01,13.8022,13.925,13.5533,13.8022,353184000
2021-03-02,13.3679,13.9205,13.396,13.3679,264116000
2021-03-03,12.7681,13.4515,12.7987,12.7681,377592000
2021-03-04,12.3349,12.975,12.0837,12.3349,573344000
2021-03-05,12.4259,12.55,11.6792,12.4259,542840000
2021-03-08,11.5601,12.4712,11.5665,11.5601,543112000
2021-03-09,12.4888,12.6167,12.0592,12.4888,521824000
2021-03-10,12.4369,12.98,12.4575,12.4369,384376000
2021-03-11,12.9608,13.0463,12.7345,12.9608,299916000
2021-03-12,12.8237,12.8888,12.59,12.8237,243964000
2021-03-15,13.1581,13.2067,12.7673,13.1581,221988000
2021-03-16,13.2578,13.5125,13.1167,13.2578,272128000
2021-03-17,13.3077,13.4532,12.9895,13.3077,243864000
2021-03-18,12.6905,13.184,12.717,12.6905,293896000
2021-03-19,12.8135,12.9215,12.6125,12.8135,299208000
2021-03-22,13.1531,13.3945,12.9067,13.1531,297804000
2021-03-23,13.0379,13.3445,13.0212,13.0379,222048000
2021-03-24,12.6112,13.1593,12.6368,12.6112,245840000
2021-03-25,12.5037,12.7148,12.272,12.5037,295144000
2021-03-26,12.807,12.8562,12.3735,12.807,363968000
2021-03-29,12.9157,13.0625,12.7,12.9157,273520000
2021-03-30,12.8394,12.9753,12.705,12.8394,200204000
2021-03-31,13.3147,13.4705,12.9825,13.3147,314776000
2021-04-01,13.777,13.87,13.5112,13.777,308276000
2021-04-05,13.9523,14.014,13.733,13.9523,255672000
2021-04-06,13.8267,14.0542,13.7735,13.8267,191744000
2021-04-07,14.1079,14.2435,13.7115,14.1079,251284000
2021-04-08,14.281,14.4715,14.249,14.281,244416000
2021-04-09,14.3638,14.408,14.175,14.3638,195172000
2021-04-12,15.1708,15.3525,14.1392,15.1708,869324000
2021-04-13,15.6401,15.7,15.1257,15.6401,676212000
2021-04-14,15.2386,15.7205,15.2275,15.2386,385500000
2021-04-15,16.0967,16.2143,15.6315,16.0967,598480000
2021-04-16,15.8725,16.1658,15.8652,15.8725,335208000
2021-04-19,15.3231,15.8075,15.233,15.3231,404420000
2021-04-20,15.1331,15.497,14.963,15.1331,334132000
2021-04-21,15.3219,15.3625,15.1023,15.3219,216776000
2021-04-22,14.8129,15.4385,14.7835,14.8129,277788000
2021-04-23,15.2269,15.335,14.9003,15.2269,227500000
2021-04-26,15.4391,15.479,15.125,15.4391,197796000
2021-04-27,15.3431,15.6705,15.3545,15.3431,164572000
2021-04-28,15.2383,15.5323,15.2155,15.2383,209416000
2021-04-29,15.2862,15.4365,15.0715,15.2862,173196000
2021-04-30,14.9718,15.365,14.997,14.9718,201912000
2021-05-03,14.7994,15.2467,14.7875,14.7994,203912000
2021-05-04,14.3152,14.6375,14.0103,14.3152,405324000
2021-05-05,14.4221,14.8135,14.3875,14.4221,292024000
2021-05-06,14.4865,14.5712,14.218,14.4865,193380000
2021-05-07,14.775,14.9707,14.6718,14.775,229328000
2021-05-10,14.2299,14.806,14.25,14.2299,268904000
2021-05-11,14.2703,14.3547,13.75,14.2703,285584000
2021-05-12,13.7239,14.2603,13.7093,13.7239,303408000
2021-05-13,13.6309,14.0808,13.459,13.6309,285404000
2021-05-14,14.2072,14.328,13.7485,14.2072,258616000
2021-05-17,14.1299,14.1692,13.8535,14.1299,216980000
2021-05-18,13.9805,14.4043,14.004,13.9805,186256000
2021-05-19,14.0304,14.0795,13.5433,14.0304,344000000
2021-05-20,14.5758,14.6838,14.2705,14.5758,321592000
2021-05-21,14.9541,15.222,14.8695,14.9541,672992000
2021-05-24,15.5728,15.745,15.176,15.5728,554816000
2021-05-25,15.6084,15.8185,15.4825,15.6084,435408000
2021-05-26,15.6605,15.7937,15.5863,15.6605,370440000
2021-05-27,15.4491,15.75,15.46,15.4491,581476000
2021-05-28,16.2037,16.2775,15.501,16.2037,644536000
2021-06-01,16.2236,16.3883,15.9032,16.2236,472804000
2021-06-02,16.7361,16.9188,16.2355,16.7361,594168000
2021-06-03,16.9271,17.259,16.583,16.9271,580008000
2021-06-04,17.5341,17.661,17.0955,17.5341,617120000
2021-06-07,17.5747,17.8125,17.1928,17.5747,575756000
2021-06-08,17.4131,17.6215,17.251,17.4131,323848000
2021-06-09,17.3186,17.575,17.2558,17.3186,381656000
2021-06-10,17.3852,17.492,17.176,17.3852,287772000
2021-06-11,17.7845,17.9393,17.4438,17.7845,416308000
2021-06-14,17.9776,18.0395,17.6628,17.9776,321376000
2021-06-15,17.7478,18.0163,17.728,17.7478,243032000
2021-06-16,17.7695,17.9548,17.5845,17.7695,307124000
2021-06-17,18.6146,18.835,17.7563,18.6146,809656000
2021-06-18,18.5962,19.375,18.584,18.5962,968856000
2021-06-21,18.3851,18.5365,17.8228,18.3851,672384000
2021-06-22,18.8436,18.9638,18.386,18.8436,580144000
2021-06-23,19.0137,19.1528,18.9077,19.0137,332356000
2021-06-24,19.1616,19.42,19.0882,19.1616,320924000
2021-06-25,18.9875,19.3455,18.8945,18.9875,278364000
2021-06-28,19.9393,20.0788,19.319,19.9393,495436000
2021-06-29,19.981,20.0987,19.657,19.981,367632000
2021-06-30,19.9568,20.1625,19.8638,19.9568,326568000
2021-07-01,20.1658,20.456,20.019,20.1658,480136000
2021-07-02,20.4402,20.5053,20.2878,20.4402,342764000
2021-07-06,20.6512,20.842,20.3503,20.6512,446708000
2021-07-07,20.3252,20.875,20.332,20.3252,418428000
2021-07-08,19.8573,20.133,19.7008,19.8573,503300000
2021-07-09,20.0044,20.0802,19.7542,20.0044,296624000
2021-07-12,20.4656,20.5327,20.1877,20.4656,321984000
2021-07-13,20.2037,20.4613,20.114,20.2037,290708000
2021-07-14,19.7962,20.4177,19.7528,19.7962,380100000
2021-07-15,18.9229,19.847,18.8585,18.9229,550564000
2021-07-16,18.1195,19.157,18.073,18.1195,688224000
2021-07-19,18.7368,19.042,17.8655,18.7368,749060000
2021-07-20,18.5695,18.838,18.164,18.5695,434687000
2021-07-21,19.3656,19.527,18.742,19.3656,371017000
2021-07-22,19.5492,19.887,19.276,19.5492,323826000
2021-07-23,19.5133,19.7,19.25,19.5133,195672000
2021-07-26,19.2499,19.442,18.914,19.2499,203943000
2021-07-27,19.1641,19.622,18.741,19.1641,248863000
2021-07-28,19.4584,19.646,18.995,19.4584,202191000
2021-07-29,19.6171,19.853,19.328,19.6171,190781000
2021-07-30,19.4544,19.63,19.263,19.4544,183497000
2021-08-02,19.7049,19.961,19.361,19.7049,217444000
2021-08-03,19.7697,20.222,19.22,19.7697,301811000
2021-08-04,20.2277,20.318,19.828,20.2277,231309000
2021-08-05,20.5898,20.733,20.342,20.5898,211435000
2021-08-06,20.3195,20.57,20.21,20.3195,178497000
2021-08-09,20.2486,20.508,20.143,20.2486,146443000
2021-08-10,19.8904,20.43,19.835,19.8904,179238000
2021-08-11,19.654,20.049,19.43,19.654,185925000
2021-08-12,19.8595,20.029,19.62,19.8595,151652000
2021-08-13,20.1419,20.214,19.851,20.1419,183063000
2021-08-16,19.9044,20.287,19.453,19.9044,210876000
2021-08-17,19.4135,19.77,19.267,19.4135,204585000
2021-08-18,18.9965,19.634,19,18.9965,285913000
2021-08-19,19.7528,20.495,18.762,19.7528,766555000
2021-08-20,20.7684,20.865,19.933,20.7684,675741000
2021-08-23,21.9078,21.997,20.95,21.9078,575807000
2021-08-24,21.7432,21.959,21.535,21.7432,297299000
2021-08-25,22.1622,22.47,21.722,22.1622,347701000
2021-08-26,22.0176,22.34,21.79,22.0176,237940000
2021-08-27,22.5843,22.722,22.167,22.5843,304722000
2021-08-30,22.6361,23.043,22.551,22.6361,262580000
2021-08-31,22.3378,22.695,22.12,22.3378,259850000
