Date,Open,High,Low,Close,Volume
2025-08-06,254.42,254.83,249.75,254.42,9930200
2025-08-07,247.44,255.74,244.59,247.44,11954200
2025-08-08,248.09,248.93,245.92,248.09,8313300
2025-08-11,250.7,252.7,243.64,250.7,9012100
2025-08-12,251.87,255.85,249.11,251.87,9998400
2025-08-13,242.27,255.65,240.74,242.27,14182100
2025-08-14,243.04,246.97,240.67,243.04,10285600
2025-08-15,246.34,248.67,241.03,246.34,11554000
2025-08-18,247.12,247.21,241.71,247.12,6759900
2025-08-19,232.78,247.3,230.41,232.78,16819300
2025-08-20,233.22,234.03,226.46,233.22,11256400
2025-08-21,231.33,234.07,230.61,231.33,7403100
2025-08-22,234.52,236.63,229.65,234.52,9343600
2025-08-25,233.57,237.16,233.43,233.57,6308600
2025-08-26,232.38,235.06,230.89,232.38,11805200
2025-08-27,233.96,234.68,230.86,233.96,5637600
2025-08-28,238.44,240.06,233.28,238.44,8691500
2025-08-29,224.36,236.35,221.36,224.36,16618600
2025-09-02,223.54,223.68,217.08,223.54,10461900
2025-09-03,221.7,224.13,220.01,221.7,8900800
2025-09-04,221.25,221.82,217.84,221.25,10303100
2025-09-05,230.98,232.78,224.12,230.98,15386100
2025-09-08,236.61,240.52,233.47,236.61,18803000
2025-09-09,239.62,241.58,232.72,239.62,41178700
2025-09-10,325.76,343.01,309.65,325.76,131618100
2025-09-11,305.45,328.41,302.22,305.45,69986000
2025-09-12,289.89,305.56,289.47,289.89,51781900
2025-09-15,299.77,304.63,294.96,299.77,40004000
2025-09-16,304.25,317.46,299.9,304.25,51923300
2025-09-17,299.05,306.24,292.72,299.05,27707900
2025-09-18,294.3,301.44,289.71,294.3,24673100
2025-09-19,306.24,308.67,294.99,306.24,40776200
2025-09-22,325.58,326.92,304.52,325.58,44437500
2025-09-23,311.37,322.46,307.62,311.37,35280200
2025-09-24,306.04,310.02,297.68,306.04,33765300
2025-09-25,289.05,296.41,286.29,289.05,39274900
2025-09-26,281.24,291.7,280.78,281.24,25990700
2025-09-29,280.55,283.74,277.42,280.55,25778500
2025-09-30,279.04,281.78,273.74,279.04,23880800
2025-10-01,286.75,287.72,275.7,286.75,23378300
2025-10-02,286.52,292.66,283.81,286.52,16215500
2025-10-03,283.9,292.33,281.78,283.9,13688400
2025-10-06,289.31,294.36,288.52,289.31,14076800
2025-10-07,282.01,290.92,268.88,282.01,31723400
2025-10-08,286.37,289.25,281.38,286.37,18982100
2025-10-09,295.15,299.13,285.51,295.15,26479800
2025-10-10,291.17,305.84,290.23,291.17,28895300
2025-10-13,306.13,308.8,295.92,306.13,21703700
2025-10-14,297.17,302.56,290.2,297.17,17346200
2025-10-15,301.77,309.11,297.09,301.77,13698900
2025-10-16,311.09,320.57,301.22,311.09,32500900
2025-10-17,289.53,302.42,285.74,289.53,37653000
2025-10-20,275.49,287.47,273.63,275.49,32810700
2025-10-21,273.47,278.59,270.6,273.47,18370800
2025-10-22,270.99,275.51,267.61,270.99,16474000
2025-10-23,278.36,281.37,270.73,278.36,16872200
2025-10-24,281.6,285.44,280.53,281.6,13194900
2025-10-27,279.68,285.25,278.1,279.68,13855800
2025-10-28,279.11,283.72,278.83,279.11,12448500
2025-10-29,273.62,279.9,269.69,273.62,18007100
2025-10-30,255.32,268.11,254.71,255.32,27954200
2025-10-31,261.01,264.19,255.14,261.01,16898700
2025-11-03,256.28,264,253.67,256.28,15709200
2025-11-04,246.65,253.72,243.69,246.65,19772600
2025-11-05,248.78,250.86,245.52,248.78,11991500
2025-11-06,242.31,247.55,237.83,242.31,18678300
2025-11-07,237.8,238.93,230.93,237.8,20969300
2025-11-10,239.36,245.73,235.62,239.36,16698700
2025-11-11,234.71,236,227.49,234.71,20686600
2025-11-12,225.6,235.36,224.79,225.6,24195000
2025-11-13,216.24,223.78,213.91,216.24,30009000
2025-11-14,221.49,225.66,209.48,221.49,36053800
2025-11-17,218.52,221.44,214.24,218.52,16143800
2025-11-18,219.14,222.33,213.19,219.14,21098300
2025-11-19,224.15,226.76,215.98,224.15,21679500
2025-11-20,209.4,232.57,209.02,209.4,27459600
2025-11-21,197.55,207.04,192.37,197.55,44834100
2025-11-24,199.06,202.58,193.11,199.06,31144700
2025-11-25,195.83,198.19,184.5,195.83,29595000
2025-11-26,203.71,208.72,201,203.71,26544100
2025-11-28,200.72,201.1,196.4,200.72,13848500
2025-12-01,199.71,202.26,195.5,199.71,13461200
2025-12-02,199.87,208.42,198.78,199.87,19664500
2025-12-03,206.46,206.65,198.18,206.46,19060500
2025-12-04,213.02,214.09,205.06,213.02,23316900
2025-12-05,216.25,218.16,212.32,216.25,24208700
2025-12-08,219.19,223.38,215.59,219.19,24711200
2025-12-09,220.18,221.26,216.95,220.18,17643600
2025-12-10,221.65,223.94,216.25,221.65,47928000
2025-12-11,197.64,200.76,185.09,197.64,100612700
2025-12-12,188.81,196.64,184.84,188.81,55201600
2025-12-15,183.79,187.82,180.29,183.79,43897500
2025-12-16,187.5,188.64,183.36,187.5,32433500
2025-12-17,177.37,185.36,175.99,177.37,50222000
2025-12-18,178.93,183.63,177.49,178.93,36297300
2025-12-19,190.8,193.93,186.97,190.8,77008600
2025-12-22,197.17,197.59,191.65,197.17,27148000
2025-12-23,194.15,196,191.02,194.15,18301600
2025-12-24,196.28,197.07,193.23,196.28,9282700
2025-12-26,196.78,199.15,194.91,196.78,11262000
2025-12-29,194.19,197.3,191.46,194.19,14748100
2025-12-30,196.01,197.17,194.51,196.01,14197400
2025-12-31,193.72,196,193.54,193.72,10341500
2026-01-02,194.51,197.38,193.02,194.51,14540700
2026-01-05,191.41,200.46,191.16,191.41,22635500
2026-01-06,192.57,193.69,189.54,192.57,16474500
2026-01-07,191.66,194.47,190.83,191.66,11171200
2026-01-08,188.49,189.78,185.01,188.49,19468500
2026-01-09,197.83,199.48,188.12,197.83,26152700
2026-01-12,203.97,205.88,196.32,203.97,25428500
2026-01-13,201.59,207.08,199.96,201.59,15857400
2026-01-14,192.94,200.98,190.15,192.94,22473200
2026-01-15,189.19,194.33,188.73,189.19,16418600
2026-01-16,190.42,191.2,185.88,190.42,19224700
2026-01-20,179.29,186.54,178.74,179.29,29129500
2026-01-21,173.27,179.97,170.01,173.27,38190000
2026-01-22,177.56,179.53,175.89,177.56,21141900
2026-01-23,176.54,179.02,171.4,176.54,23011300
2026-01-26,181.81,184.67,177.91,181.81,21100400
2026-01-27,174.29,179.09,173.08,174.29,27093700
2026-01-28,172.2,181.05,171.26,172.2,35882700
2026-01-29,168.42,169.64,160.96,168.42,37254500
2026-01-30,164.01,168.31,162.67,164.01,27362400
2026-02-02,159.5,170.6,159.44,159.5,47421000
2026-02-03,154.13,158.83,151.37,154.13,43260100
2026-02-04,146.16,153.4,143.93,146.16,42323400
2026-02-05,136,146.04,134.78,136,42789000
2026-02-06,142.32,142.7,138.43,142.32,29962400
2026-02-09,156.04,159.19,146.49,156.04,49936500
2026-02-10,159.33,164.81,156.41,159.33,40092200
