Date,Open,High,Low,Close,Volume
2025-08-06,172.89,173.63,168.4,172.89,9890900
2025-08-07,168.1,173.5,165.21,168.1,14553500
2025-08-08,167.06,170.46,166.56,167.06,9842200
2025-08-11,168.17,170.9,166.21,168.17,10219700
2025-08-12,175.4,175.58,170.25,175.4,11514300
2025-08-13,176.86,180.39,175.78,176.86,11947500
2025-08-14,173.55,177.85,173.46,173.55,8784600
2025-08-15,177.09,177.36,173.5,177.09,9548600
2025-08-18,176.17,178.19,174.69,176.17,17895500
2025-08-19,181.56,189,180.71,181.56,27834500
2025-08-20,184.43,187.65,181.47,184.43,13637500
2025-08-21,183.32,184.35,180.02,183.32,8181300
2025-08-22,185.88,187.11,182.94,185.88,6861700
2025-08-25,184.55,186.07,181.91,184.55,5801200
2025-08-26,184.23,186.66,183.99,184.23,8319100
2025-08-27,187.61,188.21,184.69,187.61,5990600
2025-08-28,191.02,191.57,187.2,191.02,6031800
2025-08-29,190.52,192.79,190.03,190.52,5195200
2025-09-02,190.52,191.59,186.35,190.52,7066900
2025-09-03,191.53,192.35,188.05,191.53,5482600
2025-09-04,192.35,194.48,188.75,192.35,5996100
2025-09-05,194.46,196.34,191.85,194.46,5670400
2025-09-08,197.38,197.9,194.79,197.38,5503800
2025-09-09,197.55,198.13,195.77,197.55,4074000
2025-09-10,197.33,202.72,195.7,197.33,6342400
2025-09-11,198.33,200.8,197.72,198.33,4327500
2025-09-12,196.29,199.95,196.16,196.29,4431600
2025-09-15,201.28,202.11,197.37,201.28,6076900
2025-09-16,201.34,202.12,198.76,201.34,5365500
2025-09-17,203.12,204.51,200.33,203.12,4916100
2025-09-18,205.68,207.03,204.27,205.68,5446400
2025-09-19,208.19,209.02,205.52,208.19,8925300
2025-09-22,208.18,209.51,205.67,208.18,5468100
2025-09-23,203.25,208.49,202.25,203.25,7125700
2025-09-24,200.7,205,200.22,200.7,5160000
2025-09-25,202.21,203.84,197.69,202.21,7326400
2025-09-26,202.37,203.55,200.62,202.37,5244300
2025-09-29,203.96,204.74,202.6,203.96,5333700
2025-09-30,203.62,206.07,201.92,203.62,4396100
2025-10-01,206.8,207.19,200.88,206.8,5623800
2025-10-02,209.3,209.9,205.44,209.3,4951600
2025-10-03,207.19,212.1,206.9,207.19,4963000
2025-10-06,212.58,213.85,209.13,212.58,7286900
2025-10-07,211.04,214.02,208.32,211.04,4982800
2025-10-08,217.79,217.94,212.26,217.79,5122900
2025-10-09,215.17,217.75,214.19,215.17,4548800
2025-10-10,208.55,217.29,208.31,208.55,5425000
2025-10-13,213.28,214.72,211.69,213.28,4449200
2025-10-14,207.56,210.8,206.7,207.56,4381700
2025-10-15,206.7,210.6,203.38,206.7,4992300
2025-10-16,205.51,210.44,204.63,205.51,3675600
2025-10-17,207.89,208.98,203.62,207.89,4626800
2025-10-20,211.82,212.61,209.53,211.82,4086400
2025-10-21,214.4,215.09,211.19,214.4,3835800
2025-10-22,212.42,215.17,210.99,212.42,4591500
2025-10-23,215.02,216.51,211.62,215.02,4001700
2025-10-24,217.11,218.23,215.87,217.11,3437200
2025-10-27,220.29,221.09,218,220.29,5439600
2025-10-28,221.38,223.61,219.68,221.38,4608900
2025-10-29,217.16,219.81,216,217.16,4607700
2025-10-30,218.27,221.27,216.61,218.27,3759900
2025-10-31,220.24,221.17,217.75,220.24,3958700
2025-11-03,219.23,220.47,215.33,219.23,5011600
2025-11-04,214.52,218,212.35,214.52,6361800
2025-11-05,213.18,215.6,212.42,213.18,4309300
2025-11-06,211.37,213.41,207.35,211.37,5444800
2025-11-07,212.29,212.64,207.83,212.29,5046400
2025-11-10,216.54,216.82,212.72,216.54,4917100
2025-11-11,218.27,218.75,215.79,218.27,3581100
2025-11-12,210.04,220.03,209.72,210.04,4535100
2025-11-13,204.77,211.99,203.18,204.77,5361200
2025-11-14,205.25,206.93,198.4,205.25,5371700
2025-11-17,202.9,207.19,202.16,202.9,4860700
2025-11-18,201,203.99,199.81,201,5373200
2025-11-19,199.9,202.6,199.24,199.9,7529100
2025-11-20,185.07,199.69,183.2,185.07,16079000
2025-11-21,182.9,186.75,180.05,182.9,8201400
2025-11-24,183.89,186.58,181.92,183.89,16207000
2025-11-25,186.27,186.69,181.16,186.27,6035600
2025-11-26,185.35,187.15,183.83,185.35,5915200
2025-11-28,190.13,190.92,186.95,190.13,4808300
2025-12-01,187.73,189.87,185.62,187.73,6692000
2025-12-02,189.88,192.08,188.15,189.88,5874300
2025-12-03,193.63,194,186.77,193.63,5489800
2025-12-04,195.68,196,192.43,195.68,4164800
2025-12-05,198.84,199.74,195,198.84,4611800
2025-12-08,195.35,199.9,193.69,195.35,4425300
2025-12-09,195,196.66,194.2,195,3193500
2025-12-10,192.96,195,192.11,192.96,4715800
2025-12-11,190.36,192.84,188.5,190.36,5776100
2025-12-12,191.69,193.66,188.55,191.69,5352700
2025-12-15,185.88,191.34,185.71,185.88,6660300
2025-12-16,187.09,188.33,184.64,187.09,5757200
2025-12-17,183.44,188.33,183.28,183.44,5758300
2025-12-18,185.88,186.92,183.19,185.88,7224300
2025-12-19,186.88,188.27,186.14,186.88,19050300
2025-12-22,189.49,190.52,186.65,189.49,4982500
2025-12-23,188.12,189.72,187.29,188.12,3371300
2025-12-24,187.22,187.84,184.79,187.22,1829300
2025-12-26,188.45,188.58,186.51,188.45,2527600
2025-12-29,186.85,189.03,186.21,186.85,2660000
2025-12-30,186.85,187.75,185.9,186.85,2847600
2025-12-31,184.2,186.86,184.1,184.2,3253100
2026-01-02,179.37,184.81,177.23,179.37,6909600
2026-01-05,182.12,185.84,181.01,182.12,6582900
2026-01-06,185.86,186.05,181.45,185.86,5959300
2026-01-07,193.9,196.19,187.77,193.9,7613600
2026-01-08,190.8,193.89,189.05,190.8,6451300
2026-01-09,189.02,192.42,187.32,189.02,5306500
2026-01-12,188.88,189.75,187.29,188.88,4281400
2026-01-13,190.85,193.2,187.99,190.85,5419600
2026-01-14,190.93,192.59,187.95,190.93,5658100
2026-01-15,187.73,194.07,186.55,187.73,6530300
2026-01-16,187.66,189.5,184.68,187.66,7053100
2026-01-20,184.06,188.52,182.27,184.06,7287900
2026-01-21,181.47,185.08,178.78,181.47,6301000
2026-01-22,182.27,183.1,180.78,182.27,7018000
2026-01-23,180.18,184.72,179.7,180.18,5791000
2026-01-26,184.22,185.62,180.69,184.22,5356700
2026-01-27,183.5,189.39,182.53,183.5,5540000
2026-01-28,183.74,186.68,183.35,183.74,4159800
2026-01-29,176.2,182.21,171.25,176.2,12925300
2026-01-30,176.97,178.1,172.99,176.97,7628100
2026-02-02,175.42,177.73,173.8,175.42,4978100
2026-02-03,166.24,174.55,163.33,166.24,9945900
2026-02-04,166.72,167.56,159.44,166.72,10470800
2026-02-05,154.77,166.19,154.05,154.77,12780500
2026-02-06,159.32,159.55,151.71,159.32,9902500
2026-02-09,166,166.75,156.37,166,20917700
2026-02-10,165.51,168.28,164.3,165.51,30141600
2026-02-11,165.3,168.28,163.49,165.3,43667300
2026-02-12,162.81,167.95,157.81,162.81,19646500
2026-02-13,166.95,170.49,163.1,166.95,12577000
2026-02-17,163.5,166.01,160.08,163.5,16586500
2026-02-18,152.35,155.28,147.15,152.35,26756800
2026-02-19,150.99,152.68,148.15,150.99,13545800
2026-02-20,148.7,158.17,148.4,148.7,25857800
2026-02-23,144.14,148.63,143.3,144.14,20861500
2026-02-24,141.67,147.52,139.57,141.67,23692200
2026-02-25,144.84,145.36,140.3,144.84,11157900
2026-02-26,149.4,151.29,144.81,149.4,12124900
2026-02-27,148.92,148.99,143.67,148.92,9430600
2026-03-02,150.15,151.86,146.01,150.15,8281300
2026-03-03,156.09,156.83,147.86,156.09,10319500
2026-03-04,158.56,160.3,154.75,158.56,9541900
2026-03-05,163.16,164.7,158.48,163.16,9220500
2026-03-06,165.05,165.36,161.31,165.05,7202500
2026-03-09,165.1,167.76,163.49,165.1,9194300
2026-03-10,165.58,167,160.83,165.58,6847000
2026-03-11,164.93,169.08,163.38,164.93,5480900
2026-03-12,168.12,168.74,165.43,168.12,7961500
2026-03-13,167.02,171.17,165.8,167.02,6258600
2026-03-16,167.45,168.28,166.15,167.45,5985100
2026-03-17,169.19,172.03,167.55,169.19,5520400
2026-03-18,168.91,171.81,167.5,168.91,5789600
2026-03-19,169.74,171.7,168,169.74,6558200
2026-03-20,162.95,169.19,161.89,162.95,16455400
2026-03-23,164.05,166.35,162.46,164.05,7218800
2026-03-24,157.21,162.8,156.14,157.21,7143100
2026-03-25,153.22,160.31,152.79,153.22,6350000
2026-03-26,156.36,159.39,152.2,156.36,6082000
2026-03-27,147.02,149.37,143.5,147.02,11431400
2026-03-30,154.35,159.16,151.47,154.35,12198800
2026-03-31,160.32,161.12,155.03,160.32,7751600
2026-04-01,160.67,161.8,157.3,160.67,7643200
2026-04-02,163.21,163.31,157.51,163.21,4354300
2026-04-06,161.95,164.08,159.67,161.95,4814800
2026-04-07,169.87,170.98,160.25,169.87,8671300
2026-04-08,173.78,179.27,171.63,173.78,12257400
2026-04-09,166.99,174.98,164.3,166.99,10583700
2026-04-10,155.73,167.6,151.28,155.73,15592700
2026-04-13,162.51,162.8,154.84,162.51,8545600
2026-04-14,161.59,165.64,158.83,161.59,7415600
2026-04-15,164.11,165.23,161.69,164.11,7416200
2026-04-16,166.97,170.25,165,166.97,7222400
2026-04-17,167.85,170.62,166.7,167.85,7037300
2026-04-20,169.56,170.54,165.2,169.56,4859700
2026-04-21,174.96,177.63,169.59,174.96,5856300
2026-04-22,181.2,181.52,175.15,181.2,5903200
2026-04-23,173.21,175.49,169.6,173.21,6965200
2026-04-24,178.54,179.1,173.22,178.54,5887600
2026-04-27,182.9,184.02,176.5,182.9,7893800
2026-04-28,180.99,186,180.74,180.99,6451900
2026-04-29,181.54,182.25,177.8,181.54,4157400
2026-04-30,179.32,180.85,173.11,179.32,5771500
2026-05-01,181.08,183.04,177.41,181.08,4972100
2026-05-04,184.56,187.27,180.95,184.56,4891100
2026-05-05,183.98,186.24,180.52,183.98,5150700
2026-05-06,183.68,184.98,179.19,183.68,5595600
2026-05-07,196.53,199.09,190.77,196.53,10556600
2026-05-08,207.88,208.09,193.43,207.88,11641800
2026-05-11,213.66,214.3,205.65,213.66,9404300
2026-05-12,215.6,216.16,210.77,215.6,8283100
