Date,Open,High,Low,Close,Volume
2025-08-06,179.54,180.58,171.01,179.54,82924800
2025-08-07,182.2,184.48,178.17,182.2,77829200
2025-08-08,186.96,187.99,184.41,186.96,62657900
2025-08-11,182.68,187.18,181.92,182.68,56125600
2025-08-12,186.97,190,182.1,186.97,54819000
2025-08-13,184.37,189.46,183.59,184.37,53610000
2025-08-14,181.02,185.33,179.2,181.02,53472900
2025-08-15,177.17,180,173.38,177.17,60288700
2025-08-18,174.03,177.9,171.39,174.03,62656600
2025-08-19,157.75,172.3,156.9,157.75,137922700
2025-08-20,156.01,156.46,142.34,156.01,220336400
2025-08-21,156.18,157.97,153.81,156.18,94678600
2025-08-22,158.74,163.2,151.77,158.74,102099200
2025-08-25,157.17,158.59,149.37,157.17,86879800
2025-08-26,160.87,162.13,154.57,160.87,86573700
2025-08-27,156.72,162.4,155.98,156.72,76380600
2025-08-28,158.12,158.23,152.55,158.12,57885200
2025-08-29,156.71,158.42,153,156.71,45270500
2025-09-02,157.09,158.39,150.28,157.09,65435000
2025-09-03,154.9,161.15,152.71,154.9,66052300
2025-09-04,156.14,157.04,153.16,156.14,53292300
2025-09-05,153.11,158.97,148.04,153.11,81855900
2025-09-08,156.1,158.3,154.84,156.1,47643000
2025-09-09,162.36,162.75,156.37,162.36,61359500
2025-09-10,166.74,169,163.44,166.74,62211400
2025-09-11,164.36,167.46,163.22,164.36,42025500
2025-09-12,171.43,171.53,164.01,171.43,54498500
2025-09-15,171.21,171.8,167.41,171.21,45396100
2025-09-16,170.26,171.31,168.96,170.26,34598700
2025-09-17,168.33,169.68,161.27,168.33,69255500
2025-09-18,176.97,178.8,169.39,176.97,70768600
2025-09-19,182.39,184.42,176.71,182.39,109129900
2025-09-22,179.33,182.25,178.29,179.33,45916700
2025-09-23,182.55,185.75,177.01,182.55,62354800
2025-09-24,179.56,184.85,177.12,179.56,45379700
2025-09-25,179.12,184.32,174.29,179.12,72321200
2025-09-26,177.57,180.12,174.91,177.57,44275800
2025-09-29,178.86,181.48,177.16,178.86,38413800
2025-09-30,182.42,182.77,178.22,182.42,43561700
2025-10-01,184.95,186.28,179.5,184.95,45717300
2025-10-02,187.05,188.2,182.95,187.05,39849200
2025-10-03,173.07,186.84,170.77,173.07,105533400
2025-10-06,179.53,182.95,177.83,179.53,52504200
2025-10-07,182.17,186.18,179.42,182.17,58179300
2025-10-08,183.56,184.26,181.2,183.56,36299700
2025-10-09,185.47,187.62,179.95,185.47,45050300
2025-10-10,175.44,187.1,173.53,175.44,55194000
2025-10-13,177.21,179.22,173.45,177.21,41332400
2025-10-14,179.74,182.34,170.82,179.74,49261400
2025-10-15,179.62,184.35,176.02,179.62,37372100
2025-10-16,178.12,184.82,176.45,178.12,42870900
2025-10-17,178.15,181.59,173.95,178.15,43421500
2025-10-20,181.59,183.09,177.44,181.59,31975800
2025-10-21,181.51,182.39,178.65,181.51,27528100
2025-10-22,175.49,182.21,169.42,175.49,58263100
2025-10-23,180.48,181.56,175.01,180.48,35812300
2025-10-24,184.63,186.17,182.85,184.63,34813500
2025-10-27,189.18,192.83,187.52,189.18,47153100
2025-10-28,189.6,191.78,186.78,189.6,38201000
2025-10-29,198.81,199.85,190.49,198.81,65537300
2025-10-30,194.55,199.67,194.12,194.55,43541700
2025-10-31,200.47,204.18,197.92,200.47,52697600
2025-11-03,207.18,207.52,201.82,207.18,81016800
2025-11-04,190.74,195.7,185.56,190.74,121380900
2025-11-05,187.9,190.32,181.21,187.9,76121000
2025-11-06,175.05,191.09,174.53,175.05,78468600
