Date,Open,High,Low,Close,Volume
2021-01-04,9.94,9.95,9.5,9.8333,191880
2021-01-05,9.8533,10.2467,9.8533,10.04,293247
2021-01-06,10.26,10.89,10.26,10.75,202968
2021-01-07,10.8533,11.1,10.7867,10.9267,127095
2021-01-08,10.9933,11.0033,10.6333,10.7467,120831
2021-01-11,10.64,10.9567,10.61,10.85,110847
2021-01-12,10.8903,11.0467,10.8033,10.9867,127941
2021-01-13,11,11.0167,10.7317,10.9633,206799
2021-01-14,10.9933,11.3417,10.9933,11.13,153090
2021-01-15,11.0667,11.2183,10.8592,10.98,245925
2021-01-19,11.04,11.0467,10.57,10.6433,193914
2021-01-20,10.6633,10.72,10.2533,10.3433,167685
2021-01-21,10.41,10.53,9.9738,10.13,253119
2021-01-22,9.97,10.29,9.97,10.23,98526
2021-01-25,10.1533,10.2867,9.9967,10.1833,153990
2021-01-26,10.22,10.22,9.76,9.8833,134538
2021-01-27,9.55,9.765,9.3367,9.59,208608
2021-01-28,9.7533,9.91,9.6107,9.79,187449
2021-01-29,9.7967,9.9367,9.5433,9.5567,343488
2021-02-01,9.6,9.9383,9.5416,9.8467,155913
2021-02-02,9.9933,10.0067,9.6667,9.86,191289
2021-02-03,9.6367,9.94,9.3933,9.5767,303420
2021-02-04,9.5533,9.8133,9.2133,9.7033,244347
2021-02-05,9.8467,9.8467,9.4233,9.5933,441576
2021-02-08,9.6333,10.0933,9.6333,9.8433,114225
2021-02-09,9.8967,10.0017,9.7667,9.8267,114585
2021-02-10,9.8027,9.8367,9.6667,9.69,89421
2021-02-11,9.6767,9.8667,9.5833,9.81,119415
2021-02-12,9.72,9.8233,9.6667,9.7167,128493
2021-02-16,9.6733,9.7641,9.5367,9.5533,103077
2021-02-17,9.5033,9.7333,9.37,9.5733,114768
2021-02-18,9.4967,9.6067,9.2533,9.46,171933
2021-02-19,9.5,9.6833,9.3767,9.6833,111468
2021-02-22,9.6033,10.07,9.6033,9.95,314274
2021-02-23,9.8933,10.0867,9.83,10.0733,219501
2021-02-24,10.1433,10.7967,10.1433,10.6567,317934
2021-02-25,10.6733,10.8,10.2367,10.6067,231582
2021-02-26,10.6333,10.6517,10.2333,10.3767,202839
2021-03-01,10.5433,10.7167,10.3767,10.6433,174996
2021-03-02,10.5967,10.66,10.2967,10.4,117348
2021-03-03,10.4567,10.7633,10.4283,10.6033,130266
2021-03-04,10.62,10.7167,10.3167,10.4767,198447
2021-03-05,10.7,11.1667,10.5117,11.1033,225462
2021-03-08,11.21,11.75,11.0472,11.6767,327744
2021-03-09,11.74,11.8167,11.2933,11.47,225078
2021-03-10,11.6633,11.8067,11.5,11.7233,156741
2021-03-11,11.8033,12.0617,11.7533,11.9267,117471
2021-03-12,12.0233,12.18,11.8733,12.04,189504
2021-03-15,12.04,12.3633,11.76,12.3,186306
2021-03-16,12.2967,12.3133,11.79,11.81,190536
2021-03-17,11.8333,11.8633,11.42,11.65,160962
2021-03-18,11.5617,11.8167,11.1533,11.3233,124662
2021-03-19,11.2367,11.7567,10.9683,11.6067,762009
2021-03-22,11.61,11.61,10.9467,11.08,161967
2021-03-23,10.91,10.9233,10.3333,10.4633,147279
2021-03-24,10.6867,10.9767,10.3667,10.3833,144084
2021-03-25,10.3333,10.7,10.1133,10.6067,150351
2021-03-26,10.8133,11.0567,10.7,11,138696
2021-03-29,10.9333,11.02,10.57,10.8,246084
2021-03-30,10.8233,11.1,10.7667,11.0167,141129
2021-03-31,10.9333,11.49,10.9333,11.29,405780
2021-04-01,10.9017,11.3433,10.9017,11.2433,115491
2021-04-05,11.455,11.455,11.2433,11.36,117882
2021-04-06,11.3467,11.38,11.1733,11.25,101382
2021-04-07,11.5517,11.5517,10.95,11.05,137277
2021-04-08,11.0533,11.2267,11,11.2267,139368
2021-04-09,11.16,11.6367,11.0833,11.3933,254316
2021-04-12,11.48,11.48,11.1333,11.4133,120048
2021-04-13,11.1567,11.4967,11.1567,11.4933,126387
2021-04-14,11.5133,11.8,11.3833,11.6967,115359
2021-04-15,11.84,11.84,11.6033,11.78,87717
2021-04-16,11.8867,11.89,11.5817,11.77,199125
2021-04-19,11.6833,11.7433,11.6167,11.6867,122682
2021-04-20,11.6133,11.68,11.3617,11.5233,131553
2021-04-21,11.5067,11.83,11.4867,11.7267,80517
2021-04-22,11.8133,11.8133,11.4233,11.5533,147564
2021-04-23,11.6167,11.87,11.5233,11.6733,132591
2021-04-26,11.7067,11.75,11.5333,11.61,128433
2021-04-27,11.65,11.75,11.46,11.75,101157
2021-04-28,11.8167,11.8167,11.6,11.7733,67686
2021-04-29,11.8333,11.9167,11.7467,11.82,76281
2021-04-30,11.74,11.81,11.59,11.7467,149592
2021-05-03,11.89,12.0933,11.7633,11.9867,159096
2021-05-04,11.85,12.2167,11.78,12.02,134304
2021-05-05,11.4367,12.2133,11.3567,11.9833,285114
2021-05-06,12.07,12.13,11.71,12.1033,224628
2021-05-07,12.1,12.19,11.9733,12.17,168246
2021-05-10,12.16,12.4267,12.1267,12.1733,143418
2021-05-11,12.1,12.24,11.76,12.0467,95292
2021-05-12,11.9967,11.9967,11.6767,11.7367,93231
2021-05-13,11.7667,12.3719,11.7667,12.1467,86811
2021-05-14,12.2067,12.3822,12.0667,12.35,137412
2021-05-17,12.32,12.3549,12.08,12.2133,141369
2021-05-18,12.13,12.1967,11.6544,11.78,108870
2021-05-19,11.6767,11.7967,11.39,11.7067,103263
2021-05-20,11.7,11.7367,11.4733,11.7267,84771
2021-05-21,11.76,12.0367,11.595,11.6867,119853
2021-05-24,11.82,11.82,11.618,11.6567,66963
2021-05-25,11.57,11.65,11.2567,11.3033,72360
2021-05-26,11.3467,11.4867,11.1767,11.4567,115602
2021-05-27,11.5933,11.69,11.4667,11.4667,110007
2021-05-28,11.6,11.6,11.2933,11.4533,75582
2021-06-01,11.5667,11.7817,11.3767,11.6467,176928
2021-06-02,11.6933,11.7,11.4533,11.5767,86811
2021-06-03,11.4867,11.5533,11.3067,11.47,110433
2021-06-04,11.5267,11.6245,11.3567,11.5167,57861
2021-06-07,11.4867,11.585,11.3333,11.41,81258
2021-06-08,11.4633,11.6433,11.43,11.5367,52359
2021-06-09,11.5233,11.57,11.3133,11.5267,94986
2021-06-10,11.5667,11.59,11.39,11.39,63369
2021-06-11,11.4833,11.78,11.4833,11.67,92730
2021-06-14,11.75,11.75,11.32,11.43,96966
2021-06-15,11.4567,11.6767,11.3618,11.4967,71667
2021-06-16,11.4767,11.7467,11.38,11.6867,161478
2021-06-17,11.61,11.7667,11.36,11.3667,144264
2021-06-18,11.1,11.2067,10.7367,10.8667,310806
2021-06-21,10.9733,11.1558,10.7333,10.7867,111975
2021-06-22,10.7367,10.8067,10.4067,10.72,122835
2021-06-23,10.7467,10.7967,10.44,10.5433,133854
2021-06-24,10.6167,10.8733,10.4115,10.8633,122541
2021-06-25,10.8467,10.9433,10.5033,10.6033,331530
2021-06-28,10.6267,10.6267,10.2433,10.3067,90744
2021-06-29,10.2367,10.32,10.1333,10.1767,88227
2021-06-30,10.22,10.45,10.1383,10.3167,143784
2021-07-01,10.42,10.45,10.2233,10.27,87963
2021-07-02,10.3267,10.36,10.1633,10.3233,119694
2021-07-06,10.2933,10.2933,9.8567,9.9633,90636
2021-07-07,9.9233,10.02,9.86,9.9333,94794
2021-07-08,9.8,9.91,9.665,9.84,132717
2021-07-09,9.8967,10.32,9.88,10.2167,87591
2021-07-12,10.1667,10.2266,10.04,10.1533,40548
2021-07-13,10.0533,10.08,9.9,10.01,65514
2021-07-14,10.0233,10.0983,9.505,9.6767,333447
2021-07-15,9.5967,9.76,9.5,9.6533,183108
2021-07-16,9.7533,9.9667,9.64,9.73,732156
2021-07-19,9.61,9.9133,9.5367,9.62,183195
2021-07-20,9.64,9.8917,9.64,9.7867,133581
2021-07-21,9.8967,10.21,9.7567,9.9567,90030
2021-07-22,9.8933,9.8933,9.5867,9.62,51333
2021-07-23,9.75,9.85,9.64,9.6833,85512
2021-07-26,9.7033,9.89,9.7033,9.83,68682
2021-07-27,9.8133,9.8367,9.6367,9.67,97782
2021-07-28,9.6767,9.85,9.5967,9.7967,69864
2021-07-29,9.7467,10.0767,9.7467,9.8767,79491
2021-07-30,9.88,9.9,9.6433,9.6967,75561
2021-08-02,9.6667,9.9067,9.5733,9.6267,91911
2021-08-03,9.6933,9.7067,9.475,9.6467,143967
2021-08-04,9.4933,10.2067,9.11,9.23,130899
2021-08-05,9.25,9.2941,8.85,8.85,213381
2021-08-06,9,9.3033,8.9967,9.1767,111309
2021-08-09,9.1767,9.1767,8.8633,8.8967,97134
2021-08-10,8.8833,9.16,8.49,9.0533,284259
2021-08-11,9.0467,9.2033,8.8683,9.1067,81573
2021-08-12,9.13,9.4083,8.8933,8.98,65682
2021-08-13,8.9267,9.09,8.7083,9.04,142290
2021-08-16,9.02,9.2234,8.8483,8.88,99096
2021-08-17,8.56,8.8217,8.4333,8.51,125274
2021-08-18,8.4667,8.6333,8.4033,8.44,81903
2021-08-19,8.7467,8.7467,8.325,8.3633,115008
2021-08-20,8.3333,8.56,8.3333,8.4,251190
2021-08-23,8.5267,8.6717,8.42,8.5133,127662
2021-08-24,8.5933,9.4533,8.49,8.6533,83376
2021-08-25,8.7,8.7,8.46,8.4867,98805
2021-08-26,8.4533,8.4717,8.39,8.39,53091
2021-08-27,8.46,8.705,8.46,8.6067,121275
2021-08-30,8.6767,8.73,8.4667,8.4767,70869
2021-08-31,8.4733,8.5848,8.39,8.4333,68196
2021-09-01,8.4417,8.5033,8.3317,8.4767,120429
2021-09-02,8.5167,8.6067,8.455,8.5367,79851
2021-09-03,8.5567,8.5983,8.4467,8.5267,94296
2021-09-07,8.4833,8.5767,8.3967,8.4567,70881
2021-09-08,8.4133,8.5166,8.3367,8.4433,80841
2021-09-09,8.4167,8.5833,8.3033,8.3033,115932
2021-09-10,8.4633,8.4633,8.2667,8.3367,89229
2021-09-13,8.36,8.5383,8.2917,8.38,150864
2021-09-14,8.36,8.39,8.2067,8.2767,185094
2021-09-15,8.3,8.3036,8.1367,8.2067,139416
2021-09-16,8.2333,8.2333,7.77,7.8533,164190
2021-09-17,7.8333,8.11,7.7,7.75,1763772
2021-09-20,7.6967,8.1767,7.69,8.17,620181
2021-09-21,8.1733,8.3233,8.0025,8.0233,142428
2021-09-22,8.11,8.2567,8.09,8.1833,151092
2021-09-23,8.2033,8.4583,8.1933,8.3467,194487
2021-09-24,8.2967,8.6076,8.2924,8.35,133236
2021-09-27,8.3967,8.65,8.3633,8.6167,139227
2021-09-28,8.4767,8.5833,8.4133,8.4467,98889
2021-09-29,8.5,8.5733,8.4083,8.46,100086
2021-09-30,8.49,8.5067,8.1667,8.19,134745
2021-10-01,8.2133,8.3833,8.15,8.31,130416
2021-10-04,8.2933,8.5,8.21,8.4533,142380
2021-10-05,8.4533,8.6067,8.1267,8.48,158913
2021-10-06,8.4667,8.5,8.33,8.4767,128448
2021-10-07,8.5333,8.6667,8.49,8.6233,210933
2021-10-08,8.6067,8.7767,8.5433,8.6533,113118
2021-10-11,8.6233,8.6833,8.5,8.53,71151
2021-10-12,8.55,8.6,8.3633,8.41,67764
2021-10-13,8.4267,8.7367,8.3792,8.68,146145
2021-10-14,8.79,9.0867,8.7767,8.8167,162870
2021-10-15,8.9633,9,8.68,8.92,398361
2021-10-18,8.84,8.8767,8.3033,8.51,156135
2021-10-19,8.5,8.5898,8.4367,8.5267,139659
2021-10-20,8.5567,8.6567,8.5,8.56,74079
2021-10-21,8.5867,8.6667,8.4533,8.6067,98514
2021-10-22,8.6433,8.7333,8.6367,8.6533,82017
2021-10-25,8.6783,8.8667,8.6367,8.7333,174342
2021-10-26,8.7633,8.7633,8.4067,8.6467,115725
2021-10-27,8.6767,8.6767,8.455,8.5033,145437
2021-10-28,8.5476,8.7438,8.5476,8.66,66042
2021-10-29,8.7,8.8123,8.6,8.62,128040
2021-11-01,8.6667,8.87,8.66,8.85,76200
2021-11-02,8.84,8.8567,8.7033,8.74,89637
2021-11-03,8.7667,9.1267,8.7667,9.01,86973
2021-11-04,9.07,9.1367,8.8467,8.9433,84198
2021-11-05,8.9733,9.28,8.9167,9.28,252795
2021-11-08,9.3767,9.51,9.2833,9.48,82041
2021-11-09,9.4267,9.43,9.2167,9.4067,168444
2021-11-10,9.4233,9.4333,9.0967,9.3567,77019
2021-11-11,9.34,9.46,9.2567,9.4233,56589
2021-11-12,9.48,9.62,9.1733,9.2133,54786
