Date,Open,High,Low,Close,Volume
2021-01-04,22.94,24.07,22.3,22.94,8949899
2021-01-05,23.36,23.45,22.78,23.36,3412831
2021-01-06,22.9,23.79,22.8,22.9,6806849
2021-01-07,23.65,23.735,23.14,23.65,3334457
2021-01-08,23.73,24.37,23.56,23.73,5624092
2021-01-11,23.53,23.975,23.05,23.53,3415998
2021-01-12,23.42,23.79,23.27,23.42,2542464
2021-01-13,23.28,23.59,23.135,23.28,2780049
2021-01-14,23.35,24.03,23.26,23.35,3616639
2021-01-15,22.86,23.595,22.81,22.86,2884986
2021-01-19,22.64,23.25,22.52,22.64,3299719
2021-01-20,22.87,23.2382,22.74,22.87,2863558
2021-01-21,23.21,23.37,22.68,23.21,2248493
2021-01-22,22.98,23.15,22.74,22.98,1987983
2021-01-25,23.24,23.49,22.285,23.24,4261772
2021-01-26,22.51,23.47,22.5,22.51,2695261
2021-01-27,22.8,23.1,21.36,22.8,5129734
2021-01-28,23.68,24.07,22.86,23.68,4369285
2021-01-29,23.13,23.86,22.73,23.13,3776793
2021-02-01,23.64,23.9,22.97,23.64,3637069
2021-02-02,24.82,25.0273,23.938,24.82,4644736
2021-02-03,26.61,28.35,24.89,26.61,16491760
2021-02-04,26.9,27.88,26.77,26.9,8506091
2021-02-05,27.05,27.3682,26.81,27.05,6612453
2021-02-08,27.61,27.885,27.18,27.61,5596279
2021-02-09,27.85,28.25,27.47,27.85,3755689
2021-02-10,27.7,28.73,27.51,27.7,4510666
2021-02-11,28.81,28.87,27.71,28.81,5035099
2021-02-12,28.9,29.365,28.32,28.9,3047513
2021-02-16,28.1,29.53,28.08,28.1,4083664
2021-02-17,27.66,27.93,27.065,27.66,5323126
2021-02-18,27.11,27.47,26.73,27.11,4257188
2021-02-19,27.28,27.65,27.1,27.28,6274041
2021-02-22,26.31,27.3,26.185,26.31,3711771
2021-02-23,25.57,25.7,23.23,25.57,6093598
2021-02-24,25.76,26.045,25.09,25.76,4958138
2021-02-25,23.72,26.25,23.63,23.72,9400990
2021-02-26,23.38,24.43,22.52,23.38,7559139
2021-03-01,24.49,24.74,23.87,24.49,7196275
2021-03-02,23.19,24.72,23.18,23.19,5279347
2021-03-03,21.89,23.53,21.74,21.89,8548523
2021-03-04,20.2,21.85,19.81,20.2,9570434
2021-03-05,20.67,20.78,18.5201,20.67,11463643
