Date,Open,High,Low,Close,Volume
2021-01-04,67.6324,71.83,67.6,67.6324,3380800
2021-01-05,68.9404,70.02,68.15,68.9404,1929400
2021-01-06,74.1231,74.96,70.7,74.1231,1939600
2021-01-07,75.6987,77.4,74.9,75.6987,1166700
2021-01-08,75.2924,76.8,75.01,75.2924,809400
2021-01-11,74.6284,76.64,75,74.6284,915900
2021-01-12,75.5699,76.59,74.43,75.5699,728500
2021-01-13,74.0933,76.26,74,74.0933,882300
2021-01-14,76.8779,77.89,74.62,76.8779,1307900
2021-01-15,75.4708,77.2,74.8,75.4708,1021300
2021-01-19,77.5418,78.37,76.62,77.5418,1151300
2021-01-20,78.5526,79.86,78.13,78.5526,1328000
2021-01-21,77.1058,79.81,77.35,77.1058,827300
2021-01-22,76.9572,78.12,76.64,76.9572,1034600
2021-01-25,75.0347,77.77,74.41,75.0347,697200
2021-01-26,74.1627,76.29,74.74,74.1627,698300
2021-01-27,71.0214,73.36,70.38,71.0214,1130500
2021-01-28,71.8934,73.43,71.6,71.8934,996400
2021-01-29,69.8322,72.27,69.84,69.8322,957000
2021-02-01,72.2204,73.1,70.47,72.2204,1458700
2021-02-02,75.1338,76.79,73.56,75.1338,1320800
2021-02-03,73.4492,75.63,74.06,73.4492,861300
2021-02-04,74.6284,75.43,73.71,74.6284,929500
2021-02-05,75.2626,76.21,74.8,75.2626,687000
2021-02-08,75.887,77.07,76.08,75.887,852700
2021-02-09,76.4716,77.89,76.1,76.4716,773000
2021-02-10,75.5302,77.44,76.15,75.5302,848800
2021-02-11,76.3131,78.53,76.12,76.3131,876100
2021-02-12,77.1653,78.05,76.56,77.1653,637300
2021-02-16,76.9076,79.55,77.34,76.9076,629300
2021-02-17,76.1347,78.02,76.02,76.1347,604800
2021-02-18,75.1933,76.5,73.9,75.1933,793900
2021-02-19,76.5509,77.78,76.42,76.5509,802700
2021-02-22,77.2049,78.68,76.06,77.2049,1110800
2021-02-23,77.5022,78.74,74.84,77.5022,1217900
2021-02-24,80.3958,81.99,78.37,80.3958,1720500
2021-02-25,83.8443,86.23,83.43,83.8443,2031900
2021-02-26,83.0912,85.76,82.65,83.0912,1536000
2021-03-01,84.9244,87.67,85.22,84.9244,1495700
2021-03-02,83.4479,85.38,83.56,83.4479,1331000
2021-03-03,81.9813,85.04,82.58,81.9813,1382400
2021-03-04,81.0894,82.51,79.04,81.0894,2443000
2021-03-05,82.3678,83.64,78.79,82.3678,1650200
2021-03-08,82.5858,84.9,82.85,82.5858,1507600
2021-03-09,82.4768,84.66,83.05,82.4768,948600
2021-03-10,84.7163,85.81,82.69,84.7163,1421000
2021-03-11,86.6189,88.25,85.82,86.6189,1391400
2021-03-12,87.8378,88.71,87.15,87.8378,675400
2021-03-15,88.0459,88.97,87.34,88.0459,893500
2021-03-16,86.4703,88.91,86.95,86.4703,965800
2021-03-17,87.1342,88.4,86.94,87.1342,1038400
2021-03-18,85.0334,88.74,85.7,85.0334,1157900
2021-03-19,84.6866,86.38,83.83,84.6866,1392000
2021-03-22,84.2803,85.77,83.87,84.2803,733700
2021-03-23,81.6444,84.94,81.61,81.6444,1900400
2021-03-24,81.5354,84.46,82.13,81.5354,1744700
2021-03-25,82.7245,84.01,80.39,82.7245,1118000
2021-03-26,86.3514,87.2,83.71,86.3514,1253700
2021-03-29,83.5569,87.76,84.08,83.5569,1016000
2021-03-30,86.7775,87.76,84.14,86.7775,1571000
2021-03-31,87.1838,88.9,86.66,87.1838,1412000
2021-04-01,88.363,90.22,88.11,88.363,1358800
2021-04-05,91.1594,92.15,90.17,91.1594,1368100
2021-04-06,91.3775,94.1,91.8,91.3775,1928600
2021-04-07,90.3363,92.23,90.43,90.3363,1562800
2021-04-08,90.7528,91.89,90.11,90.7528,1109600
2021-04-09,92.9344,93.75,91.4,92.9344,933700
2021-04-12,92.4683,94.13,92.74,92.4683,976200
2021-04-13,93.2715,94.49,92.67,93.2715,1856300
2021-04-14,93.2219,95.01,93.32,93.2219,1176100
2021-04-15,94.4813,95.32,93.73,94.4813,907900
2021-04-16,94.8978,96.49,94.63,94.8978,918900
2021-04-19,95.0267,96.48,95.21,95.0267,714700
2021-04-20,92.9641,95.36,92.18,92.9641,1209800
2021-04-21,94.7689,95.66,93.37,94.7689,853500
2021-04-22,95.1159,96.77,94.85,95.1159,1125000
2021-04-23,96.8215,97.95,95.53,96.8215,847300
2021-04-26,96.9008,98.95,97.35,96.9008,833100
2021-04-27,97.357,98.37,97.02,97.357,726500
2021-04-28,97.0297,98.42,97.7,97.0297,581500
2021-04-29,97.9123,98.92,97.38,97.9123,552000
2021-04-30,95.8299,98.63,96.38,95.8299,1727700
2021-05-03,96.3654,98.5,97.05,96.3654,866600
