Date,Open,High,Low,Close,Volume
2021-01-04,131.9995,155.15,147.14,131.9995,9827000
2021-01-05,135.4928,152.7,148.5,135.4928,8507200
2021-01-06,134.3906,153.87,149.47,134.3906,7174600
2021-01-07,138.3994,156.42,152.26,138.3994,8482300
2021-01-08,139.235,157.53,154.54,139.235,6252400
2021-01-11,138.7638,158.13,154.92,138.7638,5147800
2021-01-12,137.2883,156.87,153.96,137.2883,4385700
2021-01-13,139.9283,157.93,153.65,139.9283,5479900
2021-01-14,142.9772,163.18,158.5,142.9772,10102400
2021-01-15,139.6349,160.86,156.88,139.6349,8607400
2021-01-19,145.5727,164.1,158.45,145.5727,8209000
2021-01-20,146.3105,167.94,164.44,146.3105,7943300
2021-01-21,146.4438,166.49,163.34,146.4438,6295700
2021-01-22,144.3728,164.27,161.52,144.3728,5062300
2021-01-25,146.1327,167.05,161.73,146.1327,5370800
2021-01-26,144.4883,164.65,160.91,144.4883,6554200
2021-01-27,136.595,160.73,152.69,136.595,9854000
2021-01-28,138.2661,158.97,153.11,138.2661,8087400
2021-01-29,138.915,160.64,154.75,138.915,9502100
2021-02-01,143.6261,162.4,156.49,143.6261,8265100
2021-02-02,146.4705,165.38,161.3,146.4705,6926500
2021-02-03,144.2661,167.58,161.8,144.2661,14156700
2021-02-04,131.5284,151.78,145.2,131.5284,46141800
2021-02-05,129.635,148.9,144.62,129.635,24695400
2021-02-08,131.0039,147.6,145.3,131.0039,12181600
2021-02-09,129.875,148.5,145.9,129.875,11681300
2021-02-10,129.3328,147.75,144.37,129.3328,11701300
2021-02-11,129.3861,146.57,143.53,129.3861,11600200
2021-02-12,131.5372,151.4,144.87,131.5372,9155200
2021-02-16,130.8083,149.74,146.06,130.8083,10211900
2021-02-17,128.6661,146.89,143.42,128.6661,11937200
2021-02-18,127.9195,144.7,142.96,127.9195,8404400
2021-02-19,128.835,145.85,143.49,128.835,10012500
2021-02-22,123.9639,144.12,139.08,123.9639,12763900
2021-02-23,121.8839,138.48,134.44,121.8839,14425300
2021-02-24,125.4217,141.18,135.09,125.4217,13146200
2021-02-25,120.4706,140.83,135.02,120.4706,12701100
2021-02-26,121.0573,138.15,134.7,121.0573,11772600
2021-03-01,123.9906,139.63,136.46,123.9906,9421400
2021-03-02,121.8128,140.1,136.77,121.8128,8693200
