Date,Open,High,Low,Close,Volume
2021-01-04,299.7851,315.29,305.18,299.7851,45305900
2021-01-05,302.2566,312.14,308.29,302.2566,29323400
2021-01-06,298.0696,311.88,305.98,298.0696,52809600
2021-01-07,305.2805,315.84,310.25,305.2805,30394800
2021-01-08,309.2058,319.39,315.08,309.2058,33955800
2021-01-11,304.7377,317.19,313.75,304.7377,32746400
2021-01-12,304.2531,315.58,311.2,304.2531,29266800
2021-01-13,306.3079,316.86,313.57,306.3079,22898400
2021-01-14,304.6699,317.53,313.86,304.6699,23500100
2021-01-15,302.2566,315.12,310.58,302.2566,35118700
2021-01-19,306.6665,316.93,313.12,306.6665,24537000
2021-01-20,313.7998,324.74,316.51,313.7998,30728100
2021-01-21,316.31,327.13,323.73,316.31,25130600
2021-01-22,315.399,326.46,324.71,315.399,21609400
2021-01-25,318.0062,330.32,321.41,318.0062,39080600
2021-01-26,318.4714,329.76,327.22,318.4714,25498100
2021-01-27,309.5935,326.27,317.36,309.5935,55264000
2021-01-28,311.4253,326.42,320.03,311.4253,42836300
2021-01-29,304.8735,320.72,312.76,304.8735,55259000
2021-02-01,312.4914,323.54,316.02,312.4914,35646000
2021-02-02,317.5894,328.87,325.31,317.5894,33930800
2021-02-03,316.3295,330.2,326.32,316.3295,24824500
2021-02-04,320.0706,330.33,326.46,320.0706,22350900
2021-02-05,321.1562,332.4,329.53,321.1562,22732000
2021-02-08,323.3077,333.74,331.41,323.3077,20462800
2021-02-09,323.24,334.81,332.61,323.24,17597500
2021-02-10,322.5033,335.46,329.5,322.5033,28068700
2021-02-11,324.277,335,332.12,324.277,22046100
2021-02-12,326.0894,336.62,332.63,326.0894,20346800
2021-02-16,325.2074,338.19,334.34,325.2074,27080800
2021-02-17,323.6469,335.66,330.17,323.6469,31360300
2021-02-18,322.2319,333.87,328.36,322.2319,32236200
2021-02-19,320.8266,333.99,329.97,320.8266,39157700
2021-02-22,312.5108,327.8,322.23,312.5108,47256900
2021-02-23,311.5804,323.2,311,311.5804,97241900
2021-02-24,314.1487,324.45,315.96,314.1487,58206300
2021-02-25,303.1967,324.03,311.24,303.1967,110182600
2021-02-26,304.4664,319.11,310.88,304.4664,104739800
2021-03-01,313.6254,323.94,317.94,313.6254,49164500
2021-03-02,308.5952,324.33,318.14,308.5952,48370000
2021-03-03,299.6398,318.24,309.1,299.6398,86301100
2021-03-04,294.7355,312.04,300.11,294.7355,139131600
2021-03-05,299.1745,309.61,297.45,299.1745,121523700
2021-03-08,290.7036,310.06,299.51,290.7036,88409800
