Date,Open,High,Low,Close,Volume
2024-07-03,73.62,73.972,70.18,73.62,2718100
2024-07-05,72.97,76.2,71.58,72.97,2587200
2024-07-08,72.81,74.116,70.9,72.81,2191100
2024-07-09,70.59,76.74,69.2,70.59,2879900
2024-07-10,69.4,72.28,67.62,69.4,2156100
2024-07-11,70.29,71.891,68.328,70.29,2170300
2024-07-12,73.85,76.73,69.4,73.85,3512600
2024-07-15,72.98,78.08,72.531,72.98,2782800
2024-07-16,70.44,70.69,66.77,70.44,4589300
2024-07-17,65.21,69.79,63.79,65.21,3319000
2024-07-18,65.92,66.74,63.938,65.92,2064100
2024-07-19,64.7,68.27,64.5,64.7,1997300
2024-07-22,68.13,70.46,65.545,68.13,3644800
2024-07-23,67.84,71.41,67.01,67.84,2486500
2024-07-24,62.95,66.3,62.181,62.95,2869100
2024-07-25,62.06,64.36,59.73,62.06,2644500
2024-07-26,62.36,64.32,61.23,62.36,2044300
2024-07-29,59.98,62.98,58.72,59.98,2202900
2024-07-30,58.44,60.59,57.36,58.44,2211200
2024-07-31,60.85,61.27,59.31,60.85,1652100
2024-08-01,59.38,64.64,59.2,59.38,2520400
2024-08-02,57.58,57.81,54.11,57.58,3254200
2024-08-05,56.81,59.13,52.76,56.81,3078900
2024-08-06,54.36,58.5,54.34,54.36,6498300
2024-08-07,50.69,55.24,49.13,50.69,7772200
2024-08-08,54.94,57.742,51.76,54.94,5653300
2024-08-09,52.91,54.11,51.5,52.91,14509800
2024-08-12,52.51,52.97,50.8,52.51,3398000
2024-08-13,54.52,54.69,52.54,54.52,3967800
2024-08-14,54.95,55.03,53.2,54.95,3874000
2024-08-15,55.55,56.85,54.18,55.55,4841800
2024-08-16,54.92,55.14,53.9,54.92,3005700
2024-08-19,54.36,54.9,52.49,54.36,4487400
2024-08-20,55.02,55.06,52.39,55.02,4206300
2024-08-21,56.89,57.11,54.27,56.89,4179400
2024-08-22,56.43,57.45,55.3,56.43,3939000
2024-08-23,59.21,59.68,56.13,59.21,5286700
2024-08-26,58.26,59.98,57.51,58.26,2555700
2024-08-27,59,60.27,56.54,59,3716300
2024-08-28,56.14,57.93,55.02,56.14,4033100
2024-08-29,58.75,60.29,57.1,58.75,5040100
2024-08-30,60.03,60.41,58.475,60.03,4152500
2024-09-03,57.53,60.075,57.49,57.53,3016000
2024-09-04,57,58.81,56.06,57,2772100
2024-09-05,58.71,59.565,56.38,58.71,2699600
2024-09-06,56.85,60.41,55.8,56.85,3074500
2024-09-09,57.46,58.5,55.251,57.46,4540600
2024-09-10,56.87,57.87,55.48,56.87,2615600
2024-09-11,59.87,60,55.84,59.87,3466500
2024-09-12,59.63,62.659,59.38,59.63,4783600
2024-09-13,59.09,60.25,58.04,59.09,3726000
