Date,Open,High,Low,Close,Volume
2025-08-06,46.79,48.13,44.83,46.79,115217900
2025-08-07,46.67,48.82,46.57,46.67,43942200
2025-08-08,44.6,47.37,44.53,44.6,43796800
2025-08-11,45.2,46.48,44.98,45.2,31865900
2025-08-12,46.43,46.6,44.8,46.43,30326100
2025-08-13,46.07,46.64,45.56,46.07,26004400
2025-08-14,45.49,45.67,44.67,45.49,22948700
2025-08-15,45.37,45.57,44.16,45.37,27407500
2025-08-18,45.86,46.64,45.18,45.86,22586500
2025-08-19,43.24,45.85,43.17,43.24,30319200
2025-08-20,42.61,43.47,41.31,42.61,31496600
2025-08-21,42.31,42.96,41.82,42.31,16552100
2025-08-22,43.88,44.1,41.63,43.88,24089100
2025-08-25,44.07,44.93,43.28,44.07,18782000
2025-08-26,44.36,44.39,43.64,44.36,18168200
2025-08-27,44.76,45.01,43.87,44.76,18925100
2025-08-28,43.97,45.34,43.91,43.97,22120100
2025-08-29,41.54,42.86,41.44,41.54,36835900
2025-09-02,40.78,40.86,39.56,40.78,29924300
2025-09-03,40.1,40.98,39.77,40.1,20472800
2025-09-04,40.7,40.8,39.75,40.7,22479400
2025-09-05,40.41,41.18,39.74,40.41,21771700
2025-09-08,40.04,41.12,39.89,40.04,19033300
2025-09-09,42.92,43,40.17,42.92,37459000
2025-09-10,43.91,45.57,43.33,43.91,40876000
2025-09-11,43.95,44.51,43.46,43.95,24437700
2025-09-12,45,47,44.63,45,38138300
2025-09-15,45.38,45.77,44.2,45.38,22441800
2025-09-16,44.91,45.82,44.5,44.91,18139200
2025-09-17,44.9,45.4,43.69,44.9,22589200
2025-09-18,45.94,46.33,44.54,45.94,26315800
2025-09-19,45.81,46.52,45.45,45.81,28688400
2025-09-22,46.87,48.53,45.17,46.87,39930600
2025-09-23,46.99,47.7,45.86,46.99,27042500
2025-09-24,46.2,48.15,46.17,46.2,24991300
2025-09-25,46.24,47.16,44.2,46.24,24372200
2025-09-26,45.82,45.97,44.4,45.82,22879400
2025-09-29,46.36,47.38,45.94,46.36,25012600
2025-09-30,47.94,48.2,46.2,47.94,32168500
2025-10-01,52.39,52.48,47.36,52.39,48357200
2025-10-02,52.5,52.93,51.06,52.5,32744400
2025-10-03,51.96,53.51,50.8,51.96,32220400
2025-10-06,54.62,56.11,53.96,54.62,40241600
2025-10-07,55.07,57.48,53.6,55.07,37885900
2025-10-08,58.68,58.69,54.58,58.68,45151400
2025-10-09,57.98,58.78,57.26,57.98,29801500
2025-10-10,52.86,58.51,52.56,52.86,45087800
2025-10-13,54.75,55.65,54.02,54.75,24588900
2025-10-14,53.11,55.21,52.98,53.11,19789100
2025-10-15,53.94,55.07,52.86,53.94,16646000
2025-10-16,53.84,56.23,53.27,53.84,24656600
2025-10-17,52.18,53.63,51.62,52.18,20681800
2025-10-20,55.04,56.6,54.6,55.04,45553300
2025-10-21,54.82,55.35,53.91,54.82,29016500
2025-10-22,52.5,54.53,50.03,52.5,34326200
2025-10-23,47.92,51.84,47.38,47.92,57175700
2025-10-24,48.29,49.64,48.21,48.29,25206600
2025-10-27,51.57,51.63,49.72,51.57,27434500
2025-10-28,52.36,54.03,51.37,52.36,28064400
2025-10-29,52.69,54.08,51.56,52.69,25028500
2025-10-30,50.37,52.32,50.33,50.37,17736600
2025-10-31,51.96,52.99,50.8,51.96,19822800
2025-11-03,50.75,53.01,50.55,50.75,23811300
2025-11-04,47.4,49.43,46.86,47.4,37973500
2025-11-05,42.03,46.34,42.02,42.03,61413600
2025-11-06,40.34,42.82,40.3,40.34,32092100
2025-11-07,39.76,40.09,38.14,39.76,32960200
2025-11-10,40.19,41.63,39.9,40.19,26396700
2025-11-11,38.82,39.99,38.58,38.82,21707800
2025-11-12,37.91,39.45,37.57,37.91,24749700
2025-11-13,35.09,37.8,34.78,35.09,37471500
2025-11-14,36.42,37.35,33.69,36.42,37325200
2025-11-17,34.1,35.82,33.64,34.1,32689500
2025-11-18,34.9,35.78,33.55,34.9,28024900
2025-11-19,33.73,34.97,33.2,33.73,28892800
2025-11-20,31.56,35.54,31.45,31.56,37801500
2025-11-21,32.19,32.57,31.03,32.19,28321200
2025-11-24,33.32,33.54,31.98,33.32,27885100
2025-11-25,32.48,32.63,31.17,32.48,22199800
2025-11-26,32.83,33.42,32.45,32.83,21642400
2025-11-28,33.85,33.86,32.88,33.85,10755800
2025-12-01,33.41,33.95,32.57,33.41,20952400
