Date,Open,High,Low,Close,Volume
2021-01-04,10.12,10.15,10,10.09,135110
2021-01-05,10.14,10.19,10.04,10.17,105636
2021-01-06,10.17,10.17,9.95,10.05,273879
2021-01-07,10.12,10.14,10,10.11,229785
2021-01-08,10.1,10.17,10.05,10.13,227024
2021-01-11,10.15,10.21,10.12,10.21,185532
2021-01-12,10.2,10.46,10.2,10.46,429798
2021-01-13,10.5,10.68,10.48,10.57,323828
2021-01-14,10.71,10.71,10.45,10.591,253666
2021-01-15,10.64,10.69,10.3,10.46,250734
2021-01-19,10.57,10.81,10.38,10.8,476686
2021-01-20,10.89,11.07,10.65,10.9,507743
2021-01-21,10.99,11.08,10.7,10.78,448662
2021-01-22,10.89,11.09,10.77,11.05,559468
2021-01-25,11.34,11.65,11,11.03,596410
2021-01-26,11.23,11.29,10.86,10.88,499669
2021-01-27,10.71,10.8532,10.65,10.73,541528
2021-01-28,10.79,11,10.73,10.79,368369
2021-01-29,10.75,10.8,10.65,10.72,218476
2021-02-01,10.75,10.84,10.65,10.7,188836
2021-02-02,10.81,10.9,10.66,10.71,457183
2021-02-03,10.78,11.25,10.72,11.1,844326
2021-02-04,11.08,11.32,10.972,11.24,347524
2021-02-05,11.3,11.37,11.05,11.09,217869
2021-02-08,11.2,12.2699,11.1248,11.72,1229348
2021-02-09,11.53,11.9,11.26,11.33,744144
2021-02-10,11.4,11.5,11.1,11.37,383003
2021-02-11,11.3,11.51,11.2501,11.4,315873
2021-02-12,11.39,11.39,11.2,11.29,191278
2021-02-16,11.35,11.49,11.1501,11.3,588970
2021-02-17,11.63,11.74,11.4,11.54,994121
2021-02-18,11.4,11.6,11.315,11.46,521379
2021-02-19,11.39,11.7,11.34,11.59,269677
2021-02-22,11.5,11.5248,11.2,11.29,388118
2021-02-23,10.9,11.05,10.4006,10.75,1090248
2021-02-24,10.85,10.9,10.77,10.8,377968
2021-02-25,10.8,10.9094,10.31,10.55,558990
2021-02-26,10.6,10.7,10.3501,10.59,449572
2021-03-01,10.82,10.85,10.59,10.7,327467
2021-03-02,10.705,10.705,10.33,10.41,457676
2021-03-03,10.41,10.4699,10.24,10.3,301518
2021-03-04,10.1,10.25,9.71,10.05,800483
2021-03-05,10.05,10.32,9.8104,10.11,450440
2021-03-08,10.1,10.17,9.98,10.08,222482
2021-03-09,10.09,10.18,10.04,10.08,121321
2021-03-10,10.1,10.1801,10.04,10.07,126275
2021-03-11,10.16,10.25,10.07,10.19,249779
