Date,Open,High,Low,Close,Volume
2025-08-06,42.1,43,41.62,42.1,1553800
2025-08-07,40.69,42.35,40.53,40.69,2207200
2025-08-08,44.34,44.85,41,44.34,3516500
2025-08-11,43.37,46.35,43.17,43.37,3095000
2025-08-12,46.83,47.86,45,46.83,3204500
2025-08-13,47.01,48.46,46.8,47.01,2348500
2025-08-14,46.68,47.26,46.08,46.68,3549300
2025-08-15,44.54,46.13,42.82,44.54,7519200
2025-08-18,45.52,45.87,44.25,45.52,2541700
2025-08-19,44.58,46.5,44.26,44.58,2372900
2025-08-20,44.4,45,43.2,44.4,1526800
2025-08-21,45.5,45.6,43.56,45.5,1802300
2025-08-22,46.37,47.19,45.63,46.37,2208300
2025-08-25,46.78,46.88,46.01,46.78,1318100
2025-08-26,47.35,48.21,46.75,47.35,2577800
2025-08-27,48.44,49.08,47.4,48.44,2145100
2025-08-28,50.87,51.23,48.56,50.87,2919400
2025-08-29,52.47,52.94,50.82,52.47,4228000
2025-09-02,51.07,51.7,50.07,51.07,2023400
2025-09-03,53.01,53.22,50.65,53.01,1689700
2025-09-04,62.5,62.65,55.55,62.5,10189000
2025-09-05,68.55,68.67,63.74,68.55,9050000
2025-09-08,70.5,71,67.86,70.5,5869100
2025-09-09,70.51,71.4,69.57,70.51,3364300
2025-09-10,73.92,74.49,72.03,73.92,4053000
2025-09-11,84.3,85.89,81.38,84.3,10167400
2025-09-12,86.13,86.96,82.28,86.13,5641700
2025-09-15,90.09,92.06,85.12,90.09,8981300
2025-09-16,91.55,93.13,89.56,91.55,6292100
2025-09-17,93.97,94.81,90.22,93.97,7031000
2025-09-18,98.87,102.93,96.86,98.87,9441900
2025-09-19,102.21,102.99,96.71,102.21,6459900
2025-09-22,102.92,108.8,101.59,102.92,7692200
2025-09-23,106.4,110.21,104.7,106.4,7835000
2025-09-24,99.83,107.72,96.63,99.83,12409300
2025-09-25,94.29,100.45,93.54,94.29,10569300
2025-09-26,97.12,99.65,94.39,97.12,6418000
2025-09-29,113.5,114,103.35,113.5,12435400
2025-09-30,112.2,120.74,112.11,112.2,11414800
2025-10-01,121.12,123.85,112,121.12,12237400
2025-10-02,124.14,132.29,123.26,124.14,9453400
2025-10-03,128.41,137.05,126.7,128.41,10193700
2025-10-06,121.17,134.79,119.29,121.17,9963900
2025-10-07,120.95,125.2,115.68,120.95,6594600
2025-10-08,131.88,132.28,120.2,131.88,7173400
2025-10-09,129.68,131.6,126.12,129.68,3561500
2025-10-10,116.91,132,116.17,116.91,7860200
2025-10-13,134.61,135.91,124.05,134.61,8297300
2025-10-14,127.29,130.48,120.96,127.29,7078600
2025-10-15,144.3,144.55,130.5,144.3,8971100
2025-10-16,144.27,149.09,141.7,144.27,6289600
2025-10-17,140.16,150.82,136.29,140.16,8279800
2025-10-20,148.04,152.63,145.5,148.04,6626100
2025-10-21,149.29,150.16,142.76,149.29,4177900
2025-10-22,146.95,157.4,144.82,146.95,7516800
2025-10-23,167.05,167.95,146,167.05,9011400
2025-10-24,186.16,187.36,173.5,186.16,10653100
2025-10-27,176.49,191.85,173.72,176.49,11235500
2025-10-28,175.53,178.82,164.56,175.53,9140800
2025-10-29,204.36,205.64,181.51,204.36,9365000
2025-10-30,195.82,204.92,191.09,195.82,7341500
2025-10-31,199.33,209.77,189.58,199.33,6920700
2025-11-03,207.01,213.4,189.1,207.01,10626000
2025-11-04,194.57,202.98,185,194.57,9800800
2025-11-05,216.5,218.94,201.87,216.5,10336300
2025-11-06,207.69,226.5,205.18,207.69,10402700
2025-11-07,239.48,240,203.4,239.48,20552100
2025-11-10,267.95,270.91,247,267.95,15276400
2025-11-11,271.58,275.87,255.87,271.58,12180900
2025-11-12,283.1,284.76,267.05,283.1,13730300
2025-11-13,243.57,271.84,234.13,243.57,23274900
2025-11-14,254.16,270.49,235.05,254.16,19464400
2025-11-17,265.88,282.8,253,265.88,14211500
2025-11-18,244.93,260.63,229.11,244.93,16433900
2025-11-19,245.96,256.98,233.79,245.96,12005800
2025-11-20,195.96,254.6,192.62,195.96,26590900
2025-11-21,200.27,205.5,183,200.27,20061000
2025-11-24,226.96,228.18,205.13,226.96,13798900
2025-11-25,220.5,229.07,209,220.5,14680600
2025-11-26,215.04,228,205.4,215.04,43000900
2025-11-28,223.28,237.77,211.73,223.28,13367500
2025-12-01,210.17,215.3,205.24,210.17,10280900
2025-12-02,205.35,217,192.8,205.35,11095800
2025-12-03,194.38,199.18,187.7,194.38,9868200
2025-12-04,213.31,214.99,189.68,213.31,12166500
2025-12-05,228.47,229.45,211.25,228.47,8451300
2025-12-08,225.47,238.86,215.6,225.47,8710000
2025-12-09,219.46,224.33,213.5,219.46,6299000
2025-12-10,232.86,234.17,215.2,232.86,6090400
2025-12-11,241.61,244.19,217.67,241.61,7622500
2025-12-12,206.18,236,204.8,206.18,12083200
2025-12-15,201.87,217,200.34,201.87,6265000
2025-12-16,209.31,210.5,199.5,209.31,6638400
2025-12-17,206.83,221.99,205.52,206.83,8232300
2025-12-18,219.46,231,214,219.46,9924100
2025-12-19,237.61,243.71,221,237.61,10925000
2025-12-22,241.05,252,226.6,241.05,8663400
2025-12-23,244.9,245.5,234,244.9,5305700
2025-12-24,250.08,261.37,244.5,250.08,5642600
2025-12-26,250.05,261.5,245.1,250.05,5553700
2025-12-29,244.25,250,236.01,244.25,5706200
2025-12-30,240.22,247.48,236.52,240.22,6617000
2025-12-31,237.38,241.9,235.24,237.38,4180400
2026-01-02,275.24,275.8,244,275.24,11104300
2026-01-05,274.08,285,266.33,274.08,9812600
2026-01-06,349.63,352,288.5,349.63,24249700
2026-01-07,353.56,354.93,331.23,353.56,14886100
2026-01-08,334.54,360.98,310.78,334.54,21404400
2026-01-09,377.41,384,334.54,377.41,19353200
2026-01-12,389.27,395.16,373.97,389.27,14603900
2026-01-13,389.81,398,379.41,389.81,10818600
2026-01-14,387.81,401.2,377,387.81,10862500
2026-01-15,409.24,423.35,398.61,409.24,14146600
2026-01-16,413.62,432.02,399.7,413.62,15703000
2026-01-20,453.12,457.37,412.17,453.12,17872400
2026-01-21,501.29,501.95,448.53,501.29,21365000
2026-01-22,503.44,509.5,467.56,503.44,20607500
2026-01-23,473.83,506.3,463.01,473.83,21061100
2026-01-26,470.8,494.7,454.33,470.8,13435200
2026-01-27,481.43,503,471.15,481.43,14015600
2026-01-28,527.63,531.46,499.15,527.63,16486300
2026-01-29,539.3,546.75,507.24,539.3,23010300
2026-01-30,576.25,676.69,533,576.25,40932100
2026-02-02,665.24,674,584.1,665.24,28765800
2026-02-03,695.51,725,646.2,695.51,31213200
2026-02-04,584.55,662.79,582,584.55,29007600
2026-02-05,576.2,619.41,562.1,576.2,27725500
2026-02-06,597.95,615.36,575.5,597.95,21327300
2026-02-09,583.4,603.98,551.51,583.4,15290700
2026-02-10,541.64,582.28,540.14,541.64,15904000
2026-02-11,599.34,612.8,575,599.34,20472700
2026-02-12,630.29,668,615.62,630.29,23321100
2026-02-13,626.56,661.5,586.37,626.56,23640400
2026-02-17,590.59,628.65,588.95,590.59,19143200
2026-02-18,600.4,616.98,574.5,600.4,25097600
2026-02-19,621.09,634.48,590.1,621.09,19601600
2026-02-20,649.97,650.29,615.65,649.97,17001000
2026-02-23,666.49,691.54,644.38,666.49,18569400
2026-02-24,638.52,684.09,612.92,638.52,30408300
2026-02-25,632.38,661.2,624.43,632.38,18561500
2026-02-26,651.9,659.86,607,651.9,23672700
2026-02-27,635.36,661.2,621.27,635.36,18208200
2026-03-02,619.08,648.8,597.6,619.08,17519900
2026-03-03,565.41,593.16,557.09,565.41,20533500
2026-03-04,599.06,607.48,576.3,599.06,15614300
2026-03-05,565.59,603.53,559.1,565.59,15433600
2026-03-06,527.33,570.9,526.63,527.33,16108900
2026-03-09,588.73,589.51,517,588.73,21205500
2026-03-10,618.89,636.58,595.56,618.89,18133200
2026-03-11,655.43,655.68,618.8,655.43,15815800
2026-03-12,618.82,651.99,612.21,618.82,17284100
2026-03-13,661.62,671.67,623.06,661.62,18806900
2026-03-16,703.63,720,687.43,703.63,19406300
2026-03-17,720.17,721.37,695.12,720.17,14782100
2026-03-18,753.69,761.52,715.5,753.69,20663100
2026-03-19,772.09,776,692,772.09,21266400
2026-03-20,709.71,777.6,698.35,709.71,23508600
