Date,Open,High,Low,Close,Volume
2025-08-06,210.54,211,205.8,210.54,3236600
2025-08-07,206.4,215.39,200.8,206.4,4619400
2025-08-08,191.73,206.4,191.33,191.73,8616100
2025-08-11,191.8,196.73,191.12,191.8,5214000
2025-08-12,193.06,194,188,193.06,3942400
2025-08-13,196.87,198.24,193,196.87,4429400
2025-08-14,194.9,197.5,193.71,194.9,2791000
2025-08-15,199.08,200.34,194.8,199.08,3344900
2025-08-18,198.24,198.64,196.11,198.24,2378900
2025-08-19,192.63,199.95,191.32,192.63,3582700
2025-08-20,194.8,197.77,189.99,194.8,4945600
2025-08-21,194.68,195.29,191.24,194.68,2848400
2025-08-22,196.81,199.91,193.87,196.81,3107900
2025-08-25,194.68,200.47,194.67,194.68,3770600
2025-08-26,194.35,196.5,193.42,194.35,4665900
2025-08-27,200.39,202.54,196.66,200.39,17841900
2025-08-28,241,249.99,218.09,241,42167400
2025-08-29,238.66,241.5,233.29,238.66,11742100
2025-09-02,233.6,235.26,228.4,233.6,7218000
2025-09-03,229.33,236.5,227.84,229.33,6749000
2025-09-04,221.9,224.05,215.05,221.9,13280000
2025-09-05,225.58,226.5,221.19,225.58,5889400
2025-09-08,226.52,230.95,225.99,226.52,4519500
2025-09-09,225.56,225.83,222.1,225.56,3949400
2025-09-10,225.85,232.21,224.02,225.85,5142100
2025-09-11,224.53,228.66,223.41,224.53,4152500
2025-09-12,221.15,224.82,220.81,221.15,2634700
2025-09-15,225.79,228.54,222.01,225.79,3722300
2025-09-16,215.95,222.35,215.95,215.95,7212200
2025-09-17,217.96,219.01,214.3,217.96,4366300
2025-09-18,222.11,222.25,218.51,222.11,3752600
2025-09-19,230.48,231.94,222.57,230.48,7774900
2025-09-22,229.54,230.13,225.33,229.54,3217100
2025-09-23,223.54,231.49,222.88,223.54,4939300
2025-09-24,222.57,228.06,221.12,222.57,3259400
2025-09-25,221.6,225.41,217.27,221.6,3006200
2025-09-26,224.64,225.97,220.29,224.64,3014800
2025-09-29,225.25,230.33,224.07,225.25,4429100
2025-09-30,225.55,227.5,221.52,225.55,3420000
2025-10-01,230.55,231.86,222.64,230.55,4678300
2025-10-02,240.54,241.12,234.01,240.54,6623100
2025-10-03,235.09,242.5,233.24,235.09,4073700
2025-10-06,242.52,245.76,239.5,242.52,5131200
2025-10-07,234.81,244.15,231.07,234.81,4898700
2025-10-08,250.21,251.81,237.05,250.21,7518200
2025-10-09,250.67,253.6,245.27,250.67,6562600
2025-10-10,242.17,255.39,241.12,242.17,5062700
2025-10-13,247.27,248.43,243.27,247.27,2938100
2025-10-14,240.83,244.36,238,240.83,4084300
2025-10-15,240.86,244.33,240.11,240.86,3030200
2025-10-16,240.06,251.74,237.01,240.06,8485800
2025-10-17,240.74,241.11,236,240.74,2379400
2025-10-20,245.67,246.65,241.02,245.67,2854800
2025-10-21,247.52,249.1,242.55,247.52,2407600
2025-10-22,241.67,249.28,238.26,241.67,3206100
2025-10-23,252.99,253.09,243.35,252.99,3685500
2025-10-24,257.94,259.75,252.7,257.94,5169300
2025-10-27,265.97,267.8,261.86,265.97,4778800
2025-10-28,267.05,270.94,264.5,267.05,4129000
2025-10-29,269.7,272.39,264.2,269.7,4105300
2025-10-30,271.18,273.29,261.32,271.18,4350700
2025-10-31,274.88,275.48,265.69,274.88,6207600
2025-11-03,277.14,280.67,273.61,277.14,4256200
2025-11-04,265.42,276.96,262.61,265.42,5249000
2025-11-05,264.79,268.38,262.77,264.79,3069300
2025-11-06,264.72,274.35,261.01,264.72,4100400
2025-11-07,262.86,264.72,254.49,262.86,3835500
2025-11-10,268.51,273,267.58,268.51,3034500
2025-11-11,271.26,273.35,266.01,271.26,2481400
2025-11-12,269.82,275.87,266.86,269.82,3130500
2025-11-13,256.92,266.23,255.01,256.92,3551100
2025-11-14,257.02,259.66,243.21,257.02,3246500
2025-11-17,252.79,260.5,250.49,252.79,3164900
2025-11-18,254.51,256.87,248.02,254.51,2668200
2025-11-19,252.98,256.45,250.79,252.98,1966500
2025-11-20,244.66,262.25,244.38,244.66,3669400
2025-11-21,234.03,246.37,228.58,234.03,6823900
2025-11-24,241.99,244.09,236.05,241.99,4587800
2025-11-25,250.32,250.99,237.93,250.32,3505100
2025-11-26,248.66,250.72,247.69,248.66,3319500
2025-11-28,251.24,254,248.85,251.24,1944100
2025-12-01,252,253.22,246.01,252,4365000
2025-12-02,259.68,268.21,258.33,259.68,6626600
2025-12-03,265,267.97,256.79,265,12573700
2025-12-04,234.77,244.14,234.03,234.77,25623500
2025-12-05,228.79,234,225.6,228.79,11696700
2025-12-08,225.31,231.5,224.42,225.31,6328900
2025-12-09,222.6,225.31,220.1,222.6,6129200
2025-12-10,216.55,221.85,216,216.55,9177800
2025-12-11,220.51,221.66,214.9,220.51,4932400
2025-12-12,217.93,222.44,215.21,217.93,3900700
2025-12-15,215.28,217.63,211.91,215.28,5275700
2025-12-16,220.6,221.38,212.45,220.6,4793300
2025-12-17,216.29,224.75,216.25,216.29,2945100
2025-12-18,221.31,223.6,216.79,221.31,4823200
2025-12-19,222.46,224,218.34,222.46,6288800
2025-12-22,226.84,226.86,221.74,226.84,2789200
