Date,Open,High,Low,Close,Volume
2025-08-06,625.88,630.29,615.95,625.88,1016300
2025-08-07,620.33,632.99,608.19,620.33,1428600
2025-08-08,619.42,625.23,618.36,619.42,700600
2025-08-11,616.12,623.47,613.65,616.12,956000
2025-08-12,625.8,627.12,609.16,625.8,1168400
2025-08-13,618.57,628.89,612.69,618.57,1012400
2025-08-14,616.36,619.79,612.17,616.36,954200
2025-08-15,617.91,620,606.31,617.91,881800
2025-08-18,625.33,626.24,615.12,625.33,749600
2025-08-19,612.79,624.82,611,612.79,1170700
2025-08-20,601.13,613.83,595.1,601.13,1659500
2025-08-21,598.17,603.94,593.05,598.17,1145600
2025-08-22,606.52,612.98,597.48,606.52,863200
2025-08-25,597,605.34,596.1,597,783800
2025-08-26,596,600.13,593,596,1224400
2025-08-27,603.17,603.87,593.32,603.17,916200
2025-08-28,612.17,614.63,604.99,612.17,902200
2025-08-29,603.52,612,601.94,603.52,992800
2025-09-02,592.01,596.82,584.01,592.01,1399600
2025-09-03,592.12,593.7,586.77,592.12,973700
2025-09-04,601.96,602.85,584,601.96,1012900
2025-09-05,598.14,615.75,594.61,598.14,1388900
2025-09-08,609.08,615.79,599.22,609.08,1729500
2025-09-09,604.37,614.89,602.5,604.37,2236200
2025-09-10,387.78,429.64,380.84,387.78,21155800
2025-09-11,438.1,439.68,405.5,438.1,15275600
2025-09-12,425.45,444.19,421.94,425.45,6689000
2025-09-15,419.2,433.99,416.79,419.2,4432300
2025-09-16,425.97,427.37,417,425.97,3006200
2025-09-17,425.4,429.25,417.51,425.4,3082100
2025-09-18,480.11,483.24,448,480.11,8240300
2025-09-19,495.5,498.05,475.28,495.5,6099800
2025-09-22,514.79,515.64,481.46,514.79,4831800
2025-09-23,490.32,513,488.58,490.32,3517900
2025-09-24,468.09,491.32,464.24,468.09,4028400
2025-09-25,487.2,487.59,462,487.2,3647300
2025-09-26,487.76,493,477.14,487.76,2532900
2025-09-29,481.61,491.96,478.28,481.61,2905500
2025-09-30,493.39,495.21,480.79,493.39,2649400
2025-10-01,488.78,495.72,484.5,488.78,2017600
2025-10-02,471.15,489.29,470.35,471.15,2693400
2025-10-03,469.17,475.8,466.59,469.17,2263600
2025-10-06,478.22,481.23,469.55,478.22,1651000
2025-10-07,477.83,484.11,468.43,477.83,1222200
2025-10-08,489.36,492.36,476.72,489.36,1789600
2025-10-09,484.41,488.08,480.69,484.41,1727500
2025-10-10,438.92,487.58,437.27,438.92,3588200
2025-10-13,448,453.8,440,448,2260600
2025-10-14,443.76,452.8,433.36,443.76,2937600
2025-10-15,435.9,448.89,432,435.9,3109700
2025-10-16,440.2,445.54,435.58,440.2,1931300
2025-10-17,447.64,456.84,435.26,447.64,2510400
2025-10-20,453.35,457.82,449,453.35,1539900
2025-10-21,459.04,459.69,445.01,459.04,1356300
2025-10-22,454.3,465.75,444.36,454.3,2755300
2025-10-23,456.09,460.41,450.5,456.09,1384100
2025-10-24,464.18,473.49,458.13,464.18,1294600
2025-10-27,465.41,475.42,461.49,465.41,1720500
2025-10-28,456.83,462.4,445,456.83,2173800
2025-10-29,455.34,457.15,444.46,455.34,2315100
2025-10-30,442.93,452.77,438.55,442.93,1717000
2025-10-31,453.82,456.24,442.69,453.82,1699200
2025-11-03,445.72,452.51,437.57,445.72,1944000
2025-11-04,416.35,437.11,415.21,416.35,4353400
2025-11-05,409.11,416.92,402.7,409.11,4292500
2025-11-06,396.14,411.56,391.54,396.14,4046800
2025-11-07,393.43,400.31,386.91,393.43,2641900
2025-11-10,400.77,401.28,388.44,400.77,1886600
2025-11-11,395.6,399.69,390.02,395.6,1718400
2025-11-12,398.81,403.75,394.44,398.81,1705100
