Date,Open,High,Low,Close,Volume
2025-08-06,235.94,236.47,232.7,235.94,4966500
2025-08-07,239.84,242.35,237.89,239.84,6073400
2025-08-08,241.86,242.17,239.29,241.86,5301300
2025-08-11,241.4,245.48,240.94,241.4,4127900
2025-08-12,249.12,249.34,241.7,249.12,10091500
2025-08-13,252.82,253.04,249.99,252.82,6022400
2025-08-14,253.08,254,249.01,253.08,5315700
2025-08-15,247.28,251.22,246.59,247.28,6840100
2025-08-18,248.01,248.3,246.45,248.01,4978200
2025-08-19,244.13,249,243.7,244.13,3508000
2025-08-20,242.72,243.62,236.11,242.72,9423100
2025-08-21,241.35,243.1,239.99,241.35,4581100
2025-08-22,248.05,250.94,241.43,248.05,6527700
2025-08-25,247.47,248.59,246.24,247.47,3654200
2025-08-26,249.8,250.56,248.47,249.8,3762000
2025-08-27,250.29,250.61,247.78,250.29,4195400
2025-08-28,251.5,253.26,249.85,251.5,5060200
2025-08-29,244.3,247.9,243.15,244.3,8672600
2025-09-02,241.82,241.92,237.16,241.82,6659200
2025-09-03,240.67,242.4,238.23,240.67,5473300
2025-09-04,243.15,243.5,237.75,243.15,11842200
2025-09-05,246.02,247.46,243.11,246.02,17105500
2025-09-08,247.81,248.88,246.53,247.81,10290500
2025-09-09,248.02,248.64,246.2,248.02,9305200
2025-09-10,252.39,253.15,250.81,252.39,13398400
2025-09-11,254.13,255.44,253.56,254.13,10286200
2025-09-12,254.57,255.33,253.1,254.57,7144200
2025-09-15,256.72,256.76,253.47,256.72,7239200
2025-09-16,258.04,258.51,256.05,258.04,7543300
2025-09-17,257.99,260.2,254.3,257.99,6566900
2025-09-18,267.01,268.42,263.59,267.01,12601600
2025-09-19,265.31,266.84,263.05,265.31,5839100
2025-09-22,269.27,270.1,266.03,269.27,5721400
2025-09-23,268.95,271.56,267.35,268.95,6068300
2025-09-24,268.54,269.2,265.06,268.54,7825500
2025-09-25,267.68,268.38,261.26,267.68,11157800
2025-09-26,268.27,268.86,265.19,268.27,7244300
2025-09-29,268.37,272.23,268.31,268.37,5954900
2025-09-30,270.56,270.89,267.2,270.56,7091800
2025-10-01,275.77,276.13,268.32,275.77,9339600
2025-10-02,281.1,281.95,279.03,281.1,7250000
2025-10-03,279.38,283.75,277.9,279.38,8629100
2025-10-06,287.76,291.9,287.75,287.76,11275000
2025-10-07,281.32,290.87,280.95,281.32,9952000
2025-10-08,290.93,291.25,280.9,290.93,9301700
2025-10-09,289.59,291,286.87,289.59,7603500
2025-10-10,271.42,291.02,270.9,271.42,26691200
2025-10-13,284.28,285.36,279.76,284.28,8703400
2025-10-14,278.45,284.18,276.78,278.45,8476000
2025-10-15,287.04,287.42,281.25,287.04,7595200
2025-10-16,288.38,291.65,285.35,288.38,7410400
2025-10-17,287.57,289.04,283.13,287.57,6261500
2025-10-20,292.36,294.39,289.9,292.36,5832300
2025-10-21,290.72,292.09,288.62,290.72,3965200
2025-10-22,283.54,289.23,277.88,283.54,7875300
2025-10-23,290.46,291.25,281.66,290.46,5374800
2025-10-24,295.25,297.6,294.83,295.25,4621200
2025-10-27,303.45,304.38,299.79,303.45,5165000
2025-10-28,303.82,305.33,301.75,303.82,4156400
2025-10-29,308.96,312.14,306.33,308.96,4503100
2025-10-30,304.78,310.47,304.75,304.78,4630700
2025-10-31,305.91,310.67,303.63,305.91,5163900
2025-11-03,307.74,311.1,306.49,307.74,3750800
2025-11-04,295.64,304.12,294.94,295.64,5288800
2025-11-05,304.84,308.53,296.27,304.84,4949400
2025-11-06,296.88,305.25,294.74,296.88,8548300
2025-11-07,293.77,293.84,283,293.77,13798600
2025-11-10,301.37,302.73,297.92,301.37,6030800
2025-11-11,294.54,299.4,294.08,294.54,5877900
2025-11-12,299.05,301.06,296.88,299.05,4145000
2025-11-13,288.78,296.51,285.85,288.78,10980600
2025-11-14,287.92,292.19,278.83,287.92,7142000
2025-11-17,282.97,290.92,279.66,282.97,8188700
2025-11-18,276.4,280.83,273.52,276.4,11103100
2025-11-19,281.02,284.55,276.24,281.02,5108100
2025-11-20,267.54,289.39,266.45,267.54,13398300
2025-11-21,270.27,274.19,259.9,270.27,15355900
2025-11-24,282.11,283.46,273.05,282.11,6424800
2025-11-25,282.99,283.75,272.19,282.99,5942800
2025-11-26,290.78,293.47,286.01,290.78,5818300
2025-11-28,296.12,296.37,291.22,296.12,3038000
2025-12-01,296.3,298.8,291.92,296.3,3933000
2025-12-02,302.21,304.21,298.07,302.21,5086900
2025-12-03,308.72,308.93,300.84,308.72,3867100
2025-12-04,305.64,307.63,303.96,305.64,4639700
2025-12-05,308.76,312.18,308.29,308.76,4338100
2025-12-08,312.11,313.43,309.23,312.11,3620900
2025-12-09,311.53,312.2,308.8,311.53,2775300
2025-12-10,315.67,316.69,309.91,315.67,5093800
2025-12-11,313.87,314.13,305.15,313.87,6504700
2025-12-12,298.86,310.95,297.34,298.86,13813600
2025-12-15,297.39,302.87,296.61,297.39,5241800
2025-12-16,296.02,298.74,292.9,296.02,5850400
2025-12-17,285.05,298,284.25,285.05,10422000
2025-12-18,291.86,296.78,290.66,291.86,6740400
2025-12-19,299.63,301.5,294.32,299.63,5075000
2025-12-22,303.65,306.75,302.36,303.65,4019000
2025-12-23,304.77,304.93,301.18,304.77,2708600
2025-12-24,305.95,306.31,304.52,305.95,1723200
2025-12-26,305.85,307.35,305.1,305.85,1860900
2025-12-29,305.13,306.27,301.7,305.13,3620700
2025-12-30,304.73,307.29,304.51,304.73,2984800
2025-12-31,300.96,305.93,300.92,300.96,2954200
