Date,Open,High,Low,Close,Volume
2021-01-04,343.3191,375.45,364.82,343.3191,110210800
2021-01-05,345.6836,372.5,368.05,345.6836,66426200
2021-01-06,347.7503,376.98,369.12,347.7503,107997700
2021-01-07,352.9171,379.9,375.91,352.9171,68766800
2021-01-08,354.9279,381.49,377.1,354.9279,71677200
2021-01-11,352.5353,380.58,377.72,352.5353,51034700
2021-01-12,352.6098,379.86,376.36,352.6098,52547700
2021-01-13,353.5594,380.86,377.85,353.5594,45303600
2021-01-14,352.3213,381.13,378.1,352.3213,49989100
2021-01-15,349.7519,377.58,373.7,349.7519,107160000
2021-01-19,352.4981,379.23,376.75,352.4981,51233300
2021-01-20,357.3763,384.79,380.69,357.3763,61836100
2021-01-21,357.7021,384.95,383.25,357.7021,47840100
2021-01-22,356.436,384.13,381.84,356.436,52860500
2021-01-25,357.8417,384.77,378.46,357.8417,70402000
2021-01-26,357.2831,385.85,383.54,357.2831,42665300
2021-01-27,348.551,380.32,372.01,348.551,123351100
2021-01-28,351.5486,381.93,375.89,351.5486,94198100
2021-01-29,344.5107,376.67,368.27,344.5107,126765100
2021-02-01,350.2452,377.34,370.38,350.2452,75817600
2021-02-02,355.1978,383.22,376.32,355.1978,64450700
2021-02-03,355.4771,383.7,380.48,355.4771,52427100
2021-02-04,359.5174,386.24,381.97,359.5174,47142600
2021-02-05,360.9324,388.47,386.14,360.9324,48669800
2021-02-08,363.539,390.56,388.35,363.539,38365200
2021-02-09,363.297,390.89,389.17,363.297,35551100
2021-02-10,363.1387,392.28,387.5,363.1387,59154400
2021-02-11,363.7252,391.69,388.1,363.7252,42913300
2021-02-12,365.522,392.9,389.77,365.522,50593300
2021-02-16,365.2054,394.17,391.53,365.2054,50972400
2021-02-17,365.2892,392.66,389.33,365.2892,52290600
2021-02-18,363.7345,391.52,387.74,363.7345,59712800
2021-02-19,363.0922,392.38,389.55,363.0922,83241000
2021-02-22,360.2993,389.62,386.74,360.2993,67414200
2021-02-23,360.7369,388.95,380.2,360.7369,107284100
2021-02-24,364.712,392.23,385.27,364.712,72433900
2021-02-25,355.9239,391.88,380.78,355.9239,146670500
2021-02-26,354.0901,385.58,378.23,354.0901,152701600
2021-03-01,362.6732,390.92,380.57,362.6732,105348800
2021-03-02,359.8432,390.07,386,359.8432,79595300
2021-03-03,355.0768,386.83,381.31,355.0768,119940200
2021-03-04,350.6828,384,371.88,350.6828,183433000
2021-03-05,357.1342,384.76,372.64,357.1342,152039600
2021-03-08,355.356,387.68,381.42,355.356,123149200
2021-03-09,360.4297,389.91,385.31,360.4297,113633600
2021-03-10,362.6732,391.4,388.17,362.6732,109899400
2021-03-11,366.3504,395.65,391.74,366.3504,86245000
2021-03-12,366.8438,394.21,391.2,366.8438,64653600
2021-03-15,369.0315,396.69,392.03,369.0315,73427200
2021-03-16,368.566,397.83,395.08,368.566,73722500
2021-03-17,369.8229,398.12,393.3,369.8229,97959300
2021-03-18,364.442,396.72,390.75,364.442,115349100
2021-03-19,363.7677,391.57,387.15,363.7677,113624500
2021-03-22,366.6724,394.07,389.97,366.6724,73778600
2021-03-23,363.7863,393.46,388.66,363.7863,90686600
2021-03-24,361.937,392.75,387.47,361.937,97588600
2021-03-25,363.9732,390.55,383.9,363.9732,116128600
2021-03-26,369.8386,396.41,390.29,369.8386,114409100
2021-03-29,369.6518,396.75,392.81,369.6518,108107600
2021-03-30,368.671,395.45,393.02,368.671,76262200
2021-03-31,370.1654,398,395.31,370.1654,112734200
2021-04-01,374.1629,400.67,398.18,374.1629,99682900
2021-04-05,379.5333,406.94,403.38,379.5333,91684800
2021-04-06,379.3091,407.24,405.4,379.3091,62021000
2021-04-07,379.7482,406.96,405.45,379.7482,55836300
2021-04-08,381.5507,408.58,406.93,381.5507,57863100
2021-04-09,384.3246,411.67,408.26,384.3246,61104600
2021-04-12,384.4648,411.93,410.2,384.4648,56704900
2021-04-13,385.6042,413.53,411.12,385.6042,56551000
2021-04-14,384.2874,413.96,410.87,384.2874,61659900
2021-04-15,388.4154,416.16,413.69,388.4154,60229800
2021-04-16,389.7138,417.91,415.73,389.7138,82037300
2021-04-19,387.7991,416.74,413.79,387.7991,78498500
2021-04-20,384.9597,415.09,410.59,384.9597,81851800
2021-04-21,388.6024,416.29,411.36,388.6024,66793000
2021-04-22,385.0531,416.78,411.13,385.0531,97582800
2021-04-23,389.2281,418.25,412.79,389.2281,73209200
2021-04-26,390.0406,418.22,416.81,390.0406,52182400
2021-04-27,389.9565,418.14,416.3,389.9565,51303100
2021-04-28,389.8444,419.01,416.9,389.8444,51238900
2021-04-29,392.3289,420.72,416.44,392.3289,78544300
