Date,Open,High,Low,Close,Volume
2021-01-04,62.29,62.65,59.83,60.08,3266191
2021-01-05,59.85,60.69,59.85,60.16,3000376
2021-01-06,59.92,60.67,59.33,59.87,3192551
2021-01-07,60.15,60.52,59.42,60.11,3534613
2021-01-08,60.71,60.775,58.78,59,3144337
2021-01-11,58.42,59.19,58.04,58.72,4922657
2021-01-12,58.94,59.41,58.7,59.03,4107683
2021-01-13,59.02,60.11,58.99,59.89,4296184
2021-01-14,60,60.685,59.47,59.955,3074875
2021-01-15,59.75,61.09,59.72,60.51,6259898
2021-01-19,61.195,61.68,59.94,61.22,4425501
2021-01-20,61.5,62.03,61.17,61.42,2795593
2021-01-21,61.42,63.01,61.15,62.94,6147643
2021-01-22,60.51,60.75,58.35,60,9787579
2021-01-25,60.11,61.82,59.14,61.19,4524250
2021-01-26,61.45,64.91,61.45,64.86,4653745
2021-01-27,64.64,77.065,64.13,71.72,20290220
2021-01-28,70,70.46,66.3,66.65,7263046
2021-01-29,67.36,68.55,65.14,66.12,4117089
2021-02-01,65.61,67.33,65.45,66.74,2352659
2021-02-02,67.58,67.61,65.81,66.78,2312748
2021-02-03,66.51,68.595,66.51,67.46,2215215
2021-02-04,67.675,67.92,66.85,67.72,2010511
2021-02-05,67.84,69.76,67.76,69.44,1831681
2021-02-08,69.68,72,69.61,71.41,2307672
2021-02-09,71.57,72.5,71.19,72.36,1820611
2021-02-10,72.8,73.15,70.72,70.99,2076786
2021-02-11,71.12,72.49,70.91,72.46,1809499
2021-02-12,72.31,73.21,71.78,72.21,1496807
2021-02-16,72.52,72.89,70.94,71,2290029
2021-02-17,70.554,71.745,70.05,71.41,1924026
2021-02-18,72.525,73.85,71.8416,72.47,2934166
2021-02-19,73.36,73.83,71.87,73.14,2491579
2021-02-22,72.89,74.445,72.5,73.48,2130302
2021-02-23,72.2,72.84,70.7,72.21,3032080
2021-02-24,72.63,76.29,72.18,74.34,4154711
2021-02-25,75.36,75.57,72.76,72.85,2933907
2021-02-26,72.59,75.47,72.56,73.23,3657792
2021-03-01,75.29,75.35,73.56,73.81,2539669
2021-03-02,73.18,74.185,72.4,72.52,2241662
2021-03-03,73.68,76.45,73.42,75.94,5505508
2021-03-04,72.8,73.45,70.36,71.61,8329093
2021-03-05,72.88,74,71.19,73.38,4810471
2021-03-08,73.76,75.32,72.88,74.56,4064871
2021-03-09,75.43,76.205,74.67,75.15,3097192
2021-03-10,75.82,75.89,74.53,74.93,2122515
2021-03-11,75.77,78,75.52,77.25,2712425
2021-03-12,76.99,77.1616,76.235,76.78,2614510
2021-03-15,77.13,77.23,74.25,75.41,2650985
2021-03-16,75.09,75.99,74.7,75.48,2454328
2021-03-17,76.89,78.04,75.44,77.98,3426710
2021-03-18,76.79,76.89,73.52,73.87,4150704
2021-03-19,74.23,75.62,73.95,74.63,9605222
2021-03-22,75.57,76.59,75.26,75.94,3088325
2021-03-23,74.67,75.25,71.68,72.6,2921692
2021-03-24,73.049,73.66,71.25,71.33,1936771
2021-03-25,70.99,73.32,70.53,72.98,2680740
2021-03-26,72.89,76.08,72.59,76.02,2832589
2021-03-29,75.698,77.13,75.08,75.23,2365531
2021-03-30,75.08,75.975,74.745,75.7,1913577
2021-03-31,75.83,77.53,75.43,76.75,2765169
2021-04-01,77.26,78.5,76.8,78.49,3178767
2021-04-05,79.06,79.86,78.76,79.2,2188820
2021-04-06,78.66,79.34,78.0119,78.72,2314180
2021-04-07,78.88,79.8,78.68,78.96,1680896
2021-04-08,79.99,80.14,78.25,80,2302375
2021-04-09,79.92,80.77,79.4,80.53,2022469
2021-04-12,80.83,80.83,79.23,79.91,1954548
2021-04-13,80.46,80.5,78.73,79.98,2465381
