Date,Open,High,Low,Close,Volume
2021-01-04,17.6893,19.09,18.6,17.6893,5219800
2021-01-05,18.2395,19.74,19.03,18.2395,7058800
2021-01-06,18.2861,20.27,19.43,18.2861,6898400
2021-01-07,18.5099,20.21,19.4,18.5099,3734100
2021-01-08,18.2581,19.94,19.25,18.2581,2927200
2021-01-11,17.8572,19.39,18.7,17.8572,2143100
2021-01-12,18.2954,19.66,19.08,18.2954,1775200
2021-01-13,17.7173,19.68,18.95,17.7173,3039000
2021-01-14,18.3794,19.83,19.1,18.3794,3180800
2021-01-15,18.3048,20,19.09,18.3048,5106700
2021-01-19,19.5077,21.04,19.84,19.5077,5794600
2021-01-20,19.3678,21.34,20.37,19.3678,3051700
2021-01-21,19.1906,21.22,20.56,19.1906,3001100
2021-01-22,19.116,20.52,19.88,19.116,2913100
2021-01-25,18.5565,20.56,19.51,18.5565,3734900
2021-01-26,18.2022,20.24,19.09,18.2022,4263000
2021-01-27,17.3536,19.16,18.17,17.3536,5313000
2021-01-28,17.9038,19.38,18.45,17.9038,4528500
2021-01-29,17.0459,19.2,18.08,17.0459,4672600
2021-02-01,17.3909,18.82,18.26,17.3909,4081100
2021-02-02,17.1858,18.72,18.2,17.1858,3299500
2021-02-03,16.8128,18.64,18.02,16.8128,3051800
2021-02-04,16.9527,18.2,17.6,16.9527,4780300
2021-02-05,17.0925,18.67,18.15,17.0925,3809500
2021-02-08,18.1089,19.53,18.53,18.1089,4493300
2021-02-09,17.7359,19.5,18.91,17.7359,2844300
2021-02-10,18.3421,19.96,19.26,18.3421,6111300
2021-02-11,18.4353,19.94,19.44,18.4353,4092000
2021-02-12,18.3794,19.76,19.35,18.3794,1544200
2021-02-16,19.2373,20.96,20.15,19.2373,5858700
2021-02-17,19.3212,21.1,20.25,19.3212,5970200
2021-02-18,19.9739,21.47,20.31,19.9739,5544800
2021-02-19,21.4473,23.15,21.89,21.4473,8272200
2021-02-22,21.6804,23.58,22.74,21.6804,8937600
2021-02-23,21.4846,23.09,21.89,21.4846,6395000
2021-02-24,22.1559,23.81,22.65,22.1559,4836100
2021-02-25,20.4681,23.93,21.67,20.4681,6545400
2021-02-26,19.4238,21.83,20.61,19.4238,5840400
2021-03-01,19.6289,21.57,20.84,19.6289,5159800
2021-03-02,19.7967,21.68,20.71,19.7967,4446100
2021-03-03,20.1418,22.21,20.95,20.1418,9061900
2021-03-04,19.2373,21.26,20.16,19.2373,7247700
2021-03-05,19.9086,21.42,20.22,19.9086,7441600
2021-03-08,19.7688,21.82,21.01,19.7688,4846100
2021-03-09,19.489,21.47,20.59,19.489,3655900
2021-03-10,19.9366,21.42,20.5,19.9366,4858800
2021-03-11,21.2794,22.82,21.85,21.2794,5599900
2021-03-12,21.1393,22.69,22.28,21.1393,4035500
