Date,Open,High,Low,Close,Volume
2021-01-04,116.7572,123.45,118.1,116.7572,1391400
2021-01-05,119.0103,121.52,118.38,119.0103,1083200
2021-01-06,119.9115,124.85,120.21,119.9115,1662500
2021-01-07,127.2584,130.74,124.26,127.2584,2117800
2021-01-08,129.4527,133.48,130.44,129.4527,1340800
2021-01-11,132.9303,136.45,130.52,132.9303,2108600
2021-01-12,134.2918,139.53,136.05,134.2918,1478900
2021-01-13,133.2437,137.34,135.35,133.2437,1452800
2021-01-14,135.5654,139.55,136.68,135.5654,1563000
2021-01-15,134.4976,138.58,134.77,134.4976,1733900
2021-01-19,137.7596,141.57,139.03,137.7596,1875000
2021-01-20,135.7809,143.4,137.89,135.7809,1955900
2021-01-21,137.3776,141.41,138.75,137.3776,1301600
2021-01-22,135.1343,140.41,137.33,135.1343,1357100
2021-01-25,137.2502,141.79,137.67,137.2502,1364200
2021-01-26,135.2813,141.05,138.07,135.2813,1249800
2021-01-27,127.4543,135.51,129.4,127.4543,2360400
2021-01-28,117.4919,124,119.61,117.4919,4093700
2021-01-29,111.1638,119.72,113.04,111.1638,4974800
2021-02-01,115.1507,117.92,114,115.1507,3083000
2021-02-02,119.1278,121.79,118.61,119.1278,4276000
2021-02-03,118.1091,124.01,120.01,118.1091,2495600
2021-02-04,122.958,125.62,120.95,122.958,1882000
2021-02-05,123.5458,128.15,124.81,123.5458,1936200
2021-02-08,126.4551,129.64,126.5,126.4551,1594000
2021-02-09,125.6519,129.66,126.71,125.6519,2134100
2021-02-10,126.0829,131.48,127.28,126.0829,1816200
2021-02-11,132.2837,135.4,129.09,132.2837,1834600
2021-02-12,139.5033,143.78,135.04,139.5033,2391500
2021-02-16,140.7082,147.9,142.78,140.7082,2341500
2021-02-17,136.4568,141.71,134.53,136.4568,2169000
2021-02-18,133.81,137.83,134.48,133.81,1666200
2021-02-19,139.78,143.26,139.39,139.78,2081500
2021-02-22,129.7809,140,131.83,129.7809,1928000
