Date,Open,High,Low,Close,Volume
2021-01-04,132.2447,158.18,156.54,132.2447,13152900
2021-01-05,131.2627,156.95,155.66,131.2627,10458100
2021-01-06,128.568,153.85,152.29,128.568,22827300
2021-01-07,127.4348,152.17,151.26,127.4348,14651900
2021-01-08,127.0235,151.96,150.66,127.0235,13622500
2021-01-11,126.8136,151.21,150.49,126.8136,8370700
2021-01-12,126.7129,151.16,149.93,126.7129,12186300
2021-01-13,128.1399,153.07,151.57,128.1399,12533300
2021-01-14,126.9396,152.64,150.79,126.9396,14835500
2021-01-15,127.4431,152.36,151.47,127.4431,11624700
2021-01-19,127.8545,152.36,151.51,127.8545,9575600
2021-01-20,127.9804,152.48,151.79,127.9804,5368900
2021-01-21,127.0822,151.75,151.1,127.0822,8162700
2021-01-22,127.4936,152.01,151.42,127.4936,9507200
2021-01-25,128.9962,153.69,152.64,128.9962,8712600
2021-01-26,128.7527,153.6,152.92,128.7527,7690300
2021-01-27,129.0801,154.5,153.53,129.0801,7895200
2021-01-28,128.3666,153.46,152.16,128.3666,10667800
2021-01-29,127.5943,152.49,151.3,127.5943,14965900
2021-02-01,127.7422,152.36,151.49,127.7422,8165500
2021-02-02,126.9186,151.09,150.52,126.9186,9177500
2021-02-03,125.7924,150.59,149.58,125.7924,9633100
2021-02-04,125.4563,149.49,148.8,125.4563,8262600
2021-02-05,124.4057,149.57,148.02,124.4057,10258900
2021-02-08,124.9521,149.26,148.04,124.9521,11574800
2021-02-09,125.0444,149.67,148.66,125.0444,5218300
2021-02-10,125.8765,149.78,149.14,125.8765,8079800
2021-02-11,125.1874,149.79,148.75,125.1874,11962700
2021-02-12,123.6326,148.08,147.03,123.6326,14088400
2021-02-16,121.7501,145.66,144.66,121.7501,17789100
2021-02-17,122.5233,146.38,144.98,122.5233,11199100
2021-02-18,122.0274,145.6,144.32,122.0274,10755300
2021-02-19,120.4054,144.32,142.85,120.4054,12741700
2021-02-22,119.4894,143.74,141.72,119.4894,13203900
2021-02-23,119.1448,142.5,141.14,119.1448,12658500
2021-02-24,118.3632,141.18,139.16,118.3632,17363100
2021-02-25,116.4303,139.92,136.61,116.4303,52621700
2021-02-26,120.2794,143.3,139.68,120.2794,45423300
2021-03-01,118.6908,141.41,140.09,118.6908,22048000
2021-03-02,118.6992,141.13,140.29,118.6992,12482200
2021-03-03,117.4118,140.15,138.76,117.4118,19763700
