Date,Open,High,Low,Close,Volume
2021-01-04,98.6664,101.2964,97.6364,98.8964,11248184
2021-01-05,99.6064,102.1464,99.2064,99.9664,10583572
2021-01-06,101.0464,103.5864,99.7464,102.8064,10609283
2021-01-07,106.5364,110.1364,104.7864,108.6264,13556089
2021-01-08,113.1064,113.4864,104.1764,105.8864,18976772
2021-01-11,106.9364,110.7964,105.9964,109.7964,12032650
2021-01-12,112.3564,112.3964,108.8764,110.1964,14163168
2021-01-13,111.5964,111.9964,105.1964,106.4264,20650477
2021-01-14,110.6464,121.8464,108.8664,113.6464,37125416
2021-01-15,115.6664,115.7364,110.4064,112.4264,17343064
2021-01-19,117.7864,121.2464,115.6364,118.4964,20443818
2021-01-20,122.3864,123.3264,117.2964,117.8364,17360739
2021-01-21,120.4464,122.5964,119.5364,121.3564,15609871
2021-01-22,117.2364,118.4464,116.0064,116.3364,19163233
2021-01-25,119.0264,119.3664,114.5464,117.7164,20469346
2021-01-26,116.2464,116.5164,113.4464,113.8464,17084608
2021-01-27,112.1464,112.2964,108.6964,108.9364,16732723
2021-01-28,111.6964,114.7764,110.7764,113.0264,14148052
2021-01-29,111.1964,111.5564,107.7464,108.7164,15169178
2021-02-01,111.7364,114.0464,110.5764,113.8564,10179940
2021-02-02,116.6664,117.4464,114.6464,115.6364,9302368
2021-02-03,116.1964,116.3364,113.2564,114.6964,9676640
2021-02-04,114.6964,115.3964,113.1664,115.3464,7445110
2021-02-05,115.9864,116.0764,113.8964,114.9764,6226765
2021-02-08,115.8964,120.4464,115.8964,119.7464,11159970
2021-02-09,121.1764,121.6064,118.9464,119.8764,7929117
2021-02-10,121.3164,123.1964,119.7064,120.8864,12196266
2021-02-11,122.5964,126.4264,121.2564,126.3564,12347934
2021-02-12,126.1064,127.0064,124.3564,125.2564,11114110
2021-02-16,128.8064,129.3864,126.6164,127.2464,11833592
2021-02-17,126.4064,126.8364,123.2964,123.4664,12373653
2021-02-18,122.0464,123.0764,120.5964,121.8264,11614584
2021-02-19,123.3464,125.1464,122.9164,123.8564,10771927
2021-02-22,120.7864,122.4764,120.3764,120.7664,10363778
2021-02-23,116.2964,118.9364,112.5764,116.2964,18444734
2021-02-24,116.7064,119.5764,114.8764,119.4964,12782875
2021-02-25,118.7164,118.7364,112.9164,113.1964,13581185
2021-02-26,112.6264,114.5864,110.0264,113.1364,17280950
2021-03-01,116.8264,117.4964,114.4364,116.3264,9714884
2021-03-02,115.6264,115.7164,113.1964,113.1964,8274533
2021-03-03,113.9164,114.9564,109.9064,110.0864,10660313
2021-03-04,109.1464,110.3464,100.6864,102.7864,24454247
2021-03-05,108.0964,108.4964,102.5764,107.9964,17448732
2021-03-08,107.7364,108.1964,100.8964,101.1264,17246948
2021-03-09,104.2664,105.5964,102.5264,103.5764,17717113
2021-03-10,104.9964,105.2264,100.6064,101.0264,15240262
2021-03-11,105.4364,107.9964,104.2664,107.7764,15091598
2021-03-12,106.1964,106.1964,104.4764,105.4964,8171001
2021-03-15,105.8464,106.3064,103.9064,106.2764,8946293
2021-03-16,106.9164,108.4464,105.2964,106.5464,10793373
2021-03-17,105.3862,107.1562,103.0262,106.3962,9869563
2021-03-18,105.6362,105.9662,101.7362,102.1362,10299940
2021-03-19,102.0162,102.5262,100.8462,101.2662,11535951
2021-03-22,102.4262,105.9662,102.4262,104.8162,9376422
2021-03-23,103.7362,104.3862,102.2462,102.5262,8977391
2021-03-24,100.1062,102.3262,96.4862,96.5962,24196072
2021-03-25,95.6362,100.3862,95.5262,98.0862,16772398
2021-03-26,99.6362,104.3362,98.8362,104.1962,12910910
2021-03-29,104.1862,104.3962,100.0262,102.0262,10863643
2021-03-30,102.9162,103.7262,101.9262,102.7062,8206164
2021-03-31,103.4262,105.9962,103.1962,105.9162,9806546
2021-04-01,110.4462,112.5162,109.2762,112.4362,17904013
2021-04-05,114.7062,115.0362,110.3162,112.1362,14113892
2021-04-06,111.6362,111.6462,109.1762,110.0762,13042312
2021-04-07,110.0762,110.2462,107.4762,107.5262,11193229
2021-04-08,109.0162,111.4562,109.0162,111.0662,10226706
2021-04-09,110.3862,111.0762,109.3362,110.4362,8315187
2021-04-12,109.8462,110.0962,106.8762,108.5362,9868416
2021-04-13,110.0362,110.5362,107.9862,108.9062,8384755
2021-04-14,109.6262,110.0662,108.1362,108.4762,9521863
2021-04-15,109.3362,109.6362,104.1962,105.9862,18709052
2021-04-16,106.8262,108.2362,105.4862,106.4762,9512086
2021-04-19,105.6362,106.5162,102.8362,103.0362,12630310
2021-04-20,103.6862,104.4162,102.1862,102.5862,9299195
2021-04-21,102.1362,105.1262,101.4062,105.0362,8472229
2021-04-22,105.1362,105.1362,102.0462,102.9562,7411787
2021-04-23,104.2162,106.3562,103.5662,106.2762,8386671
2021-04-26,107.6362,109.1762,107.0362,109.1562,8444012
2021-04-27,109.1362,109.2862,107.5262,108.9062,5491795
2021-04-28,107.6362,108.0562,106.3662,107.2962,6476501
2021-04-29,108.3562,108.4662,105.2462,106.7362,8831780
2021-04-30,105.6462,105.8162,104.2862,104.3762,7950744
2021-05-03,105.1062,105.1862,103.3662,103.5762,10229530
2021-05-04,102.6362,103.4562,101.3762,102.9962,9638315
2021-05-05,103.6362,104.1262,103.0162,103.0162,4084965
2021-05-06,102.9362,105.2762,102.0962,104.6362,8581653
2021-05-07,106.0362,107.0562,103.6862,104.4662,9614315
2021-05-10,102.6162,103.0162,99.8662,99.9462,12281223
2021-05-11,97.3662,100.6262,96.7662,100.4862,10007715
2021-05-12,96.9862,97.7262,95.6962,95.8462,15058920
2021-05-13,96.9962,99.0662,95.5362,96.3862,10561429
2021-05-14,98.2462,100.4662,97.8762,100.0962,8425191
2021-05-17,96.7062,97.6662,95.5062,97.4362,10688635
