Date,Open,High,Low,Close,Volume
2025-08-06,425.03,427.29,422.59,425.03,1427300
2025-08-07,426.11,428.64,422.87,426.11,810200
2025-08-08,428.08,429.56,424.14,428.08,755600
2025-08-11,426.07,430.4,424.07,426.07,1074700
2025-08-12,436.9,437.18,424.24,436.9,1225600
2025-08-13,432.84,439.24,425.94,432.84,1182300
2025-08-14,426.53,434.33,425.59,426.53,895400
2025-08-15,421.45,427.89,420.16,421.45,891900
2025-08-18,426.87,427.81,421.31,426.87,630300
2025-08-19,426.78,429.4,423.3,426.78,757200
2025-08-20,424.31,425.62,419.51,424.31,927300
2025-08-21,420.3,424.79,419.19,420.3,1185200
2025-08-22,422.13,428.91,420.59,422.13,1010300
2025-08-25,417.67,424.89,417.33,417.67,1103600
2025-08-26,424.2,424.55,416.61,424.2,1099200
2025-08-27,422.21,425.97,422.02,422.21,1144400
2025-08-28,422.52,425.49,420.6,422.52,1093300
2025-08-29,413.66,424.63,411.85,413.66,1278600
2025-09-02,409.01,409.71,403.87,409.01,1300300
2025-09-03,406.4,409.75,401.13,406.4,2298600
2025-09-04,411.22,413.62,406.63,411.22,1243700
2025-09-05,412.83,416.96,405.51,412.83,1280500
2025-09-08,413.93,415.25,411.01,413.93,1069000
2025-09-09,408.42,412.5,402.25,408.42,1181600
2025-09-10,416.32,419.25,408.93,416.32,2264000
2025-09-11,413.88,422.63,404.72,413.88,1483600
2025-09-12,399.81,413.62,399.43,399.81,1563700
2025-09-15,401.47,405.62,397,401.47,1560900
2025-09-16,399.03,405.05,397.34,399.03,1402700
2025-09-17,398,401.88,393.44,398,1229300
2025-09-18,401.52,405.08,397.79,401.52,1387200
2025-09-19,405.6,407.69,401.31,405.6,2322900
2025-09-22,406.65,407.52,402.84,406.65,1063400
2025-09-23,404.19,410.3,402.1,404.19,1127500
2025-09-24,403.12,410.69,402.41,403.12,1213300
2025-09-25,405.42,406.81,398.26,405.42,1446700
2025-09-26,414.23,416.06,406.62,414.23,1527600
2025-09-29,413.38,419.35,411.52,413.38,1379900
