Date,Open,High,Low,Close,Volume
2021-01-01,4.7353,5.2797,4.5895,4.7353,12818149.34
2021-01-02,4.8564,5.2,4.48,4.8564,15422965.31
2021-01-03,5.5155,5.6412,4.6756,5.5155,16004744.42
2021-01-04,5.4238,6.2,4.8556,5.4238,17737637.15
2021-01-05,6.2518,6.56,5.164,6.2518,13101875.75
2021-01-06,6.4157,6.5911,6.004,6.4157,8261062.72
2021-01-07,6.2545,6.84,6.028,6.2545,7832572.02
2021-01-08,5.8807,6.37,5.4188,5.8807,8255855.64
2021-01-09,6.22,6.3461,5.6618,6.22,5958300.54
2021-01-10,5.9802,6.58,5.5447,5.9802,7474281.85
2021-01-11,5.2448,6.0035,4.3904,5.2448,14902281.22
2021-01-12,5.5878,5.8211,4.9651,5.5878,8248266.1
2021-01-13,6.3311,6.3825,5.2601,6.3311,6787774.1
2021-01-14,6.9593,7.13,6.1775,6.9593,10439216.67
2021-01-15,7.3762,7.49,6.361,7.3762,16759142.91
2021-01-16,8.3908,9.3776,7.1931,8.3908,16659914.44
2021-01-17,8.689,9.18,8.0284,8.689,12230919.85
2021-01-18,9.1904,9.878,8.3,9.1904,10123589.68
2021-01-19,8.5767,9.9388,8.4641,8.5767,8643124.23
2021-01-20,8.9646,9.0465,7.65,8.9646,9665642.01
2021-01-21,7.5873,9.0369,7.3247,7.5873,8726344.42
2021-01-22,8.6834,9.0966,7.0405,8.6834,8355910.06
2021-01-23,9.3428,9.5339,8.4908,9.3428,5350324.46
2021-01-24,12.0505,12.3,9.1583,12.0505,12721611.85
2021-01-25,11.3177,12.8983,10.88,11.3177,13116856.01
2021-01-26,13.9086,14.3148,11.1557,13.9086,19001655.6
2021-01-27,14.7493,15.4934,13.02,14.7493,20244050.72
2021-01-28,14.1003,15.3997,13.4994,14.1003,14385148.83
2021-01-29,15.6418,15.8,14.071,15.6418,13323277.76
2021-01-30,19.5376,19.62,15.09,19.5376,13273973.57
2021-01-31,17.7246,20.5612,17.3999,17.7246,15718817.49
2021-02-01,20.4502,20.7583,16.6679,20.4502,12215677.8
2021-02-02,18.9517,20.6062,18.005,18.9517,8876910.38
2021-02-03,19.7114,20.5585,18.6899,19.7114,7886297.54
2021-02-04,20.1299,21.596,19.132,20.1299,8880802.92
2021-02-05,21.145,22.5,19.6333,21.145,6869668.75
2021-02-06,19.2499,21.676,19.1641,19.2499,5455158.74
2021-02-07,18.6592,19.73,17.06,18.6592,6015538.25
2021-02-08,19.3198,20.1738,18.1163,19.3198,5898408.32
2021-02-09,19.5175,19.903,18.8145,19.5175,4421517.57
2021-02-10,20.6802,22.5,19,20.6802,7974562.63
2021-02-11,21.4536,22.0135,20.122,21.4536,3940036.85
2021-02-12,22.6236,23.83,21.2313,22.6236,5817360.92
2021-02-13,21.7738,23.8,21.2037,21.7738,4356960.74
2021-02-14,20.8245,22.6,20.6637,20.8245,2698101.82
2021-02-15,20.0675,21.5399,16.8421,20.0675,5678630.84
2021-02-16,20.4846,21.32,19.3752,20.4846,3690220.56
2021-02-17,21.5175,21.8168,19.1663,21.5175,3666053.53
2021-02-18,21.1733,22.27,20.5663,21.1733,4094257.31
2021-02-19,20.0756,21.544,19.3235,20.0756,6543994.23
2021-02-20,28.7533,32.999,19.5026,28.7533,23821017.72
2021-02-21,28.7763,32.122,27.7142,28.7763,12428623.7
2021-02-22,27.6835,29.1458,21.8157,27.6835,12142946.64
2021-02-23,24.8086,27.7995,18.1,24.8086,16473183.55
2021-02-24,25.2509,27.36,23.0701,25.2509,7424230.39
2021-02-25,23.4781,26.99,23.0803,23.4781,5769473.41
2021-02-26,23.1082,25.1867,21.01,23.1082,5919224.99
2021-02-27,23.5338,24.8409,22.2954,23.5338,4436321.8
2021-02-28,22.2098,24.127,20.4743,22.2098,5420311.75
2021-03-01,25.7058,25.72,22.0527,25.7058,4525679.92
2021-03-02,25.5253,27.4389,24.5146,25.5253,6697008.9
2021-03-03,25.3565,27.5855,25.265,25.3565,4518211.5
2021-03-04,28.2681,29.7738,24.75,28.2681,10291315.68
2021-03-05,28.2866,28.77,25.8223,28.2866,7108036.7
2021-03-06,28.5148,29.0502,27.1454,28.5148,3510511.8
2021-03-07,34.2651,34.88,28.3599,34.2651,8643240.24
2021-03-08,33.2344,34.9277,32.0333,33.2344,6597671.5
2021-03-09,32.8722,34.7648,32.35,32.8722,4596044.4
2021-03-10,30.8877,33.5,30.3186,30.8877,3832878.65
2021-03-11,30.9944,31.8238,29.5,30.9944,3153485.8
2021-03-12,30.9198,31.9719,29.1548,30.9198,2817271.54
2021-03-13,32.4439,33.3585,30.185,32.4439,3410666.16
2021-03-14,30.6509,33.8965,30.6261,30.6509,2620736.83
2021-03-15,29.7983,31.534,29.534,29.7983,2781982.06
2021-03-16,30.0247,30.0501,27.9781,30.0247,2469876.37
2021-03-17,31.2878,31.68,29.4191,31.2878,3533112.09
2021-03-18,29.9785,31.6,29.7136,29.9785,1718067.32
2021-03-19,33.262,34.2,29.4497,33.262,3484967.8
2021-03-20,32.0399,35.2005,31.85,32.0399,4039700.95
2021-03-21,32.9395,33.3,31.5,32.9395,1811349.12
2021-03-22,32.7958,35.8531,31.7495,32.7958,5358849.03
2021-03-23,30.9878,36.8,30.0888,30.9878,8403123.71
2021-03-24,27.2243,31.8813,25.5247,27.2243,6871661.81
2021-03-25,26.5,28.07,25.5659,26.5,4913672.84
2021-03-26,28.88,29,26.4498,28.88,3200954.64
2021-03-27,28.1897,29.4706,27.7951,28.1897,2404025.64
2021-03-28,27.8685,28.887,27.3558,27.8685,2025362.24
2021-03-29,29.0155,29.5,27.5013,29.0155,2808473.57
2021-03-30,28.55,29.2693,28.28,28.55,2562782.3
2021-03-31,28.0316,29.0251,26.666,28.0316,2709216.2
2021-04-01,28.6638,30.3055,28.0776,28.6638,3244347.12
2021-04-02,30.2084,30.2803,28.4252,30.2084,2251495.66
2021-04-03,29.3874,32.5,29.3293,29.3874,4271331.76
2021-04-04,30.9131,31.5,28.9183,30.9131,1729762.79
2021-04-05,30.8292,31.2306,29.6712,30.8292,1978116.57
2021-04-06,31.233,32.4508,30.0174,31.233,2543943.79
2021-04-07,28.5722,31.4,27.7907,28.5722,2796671.57
2021-04-08,30.2033,30.3316,28.3312,30.2033,1693340
2021-04-09,29.5199,30.6713,29.25,29.5199,1472609.57
2021-04-10,29.7649,30.9839,29.1687,29.7649,1863776.25
2021-04-11,29.9063,30.6659,29.1936,29.9063,2335194.54
2021-04-12,36.6844,38.1639,29.5458,36.6844,10504630.76
2021-04-13,35.4293,37.2,33.75,35.4293,5456454.88
2021-04-14,36.0626,36.93,33.222,36.0626,4599133.42
2021-04-15,37.7447,39.6,35.5813,37.7447,5458455.78
2021-04-16,36.1359,38.1977,33.983,36.1359,4000210.96
2021-04-17,34.7343,37.5267,34.6222,34.7343,2729047.23
2021-04-18,31.6225,35.1,26.9787,31.6225,6697460.24
2021-04-19,31.3572,32.73,29.181,31.3572,3932586.13
