Date,Open,High,Low,Close,Volume
2025-08-06,39.31,39.79,38.74,39.31,3584200
2025-08-07,38.74,39.54,38.02,38.74,3201400
2025-08-08,38.13,39.51,38.02,38.13,2146400
2025-08-11,37.82,38.53,37.23,37.82,2524900
2025-08-12,38.57,38.66,37.59,38.57,1838300
2025-08-13,37.65,38.83,37.07,37.65,4508700
2025-08-14,37.25,37.76,36.98,37.25,2343600
2025-08-15,37.23,37.34,36.3,37.23,2198500
2025-08-18,37.41,37.41,36.71,37.41,2086200
2025-08-19,35.28,37.24,35.17,35.28,4624600
2025-08-20,34.79,35.12,34.02,34.79,4876000
2025-08-21,35.49,35.59,34.99,35.49,2553900
2025-08-22,37.64,37.79,36.01,37.64,4819900
2025-08-25,37.69,38.07,37.32,37.69,2983300
2025-08-26,38.61,39.38,37.78,38.61,4208800
2025-08-27,37.87,38.64,37.86,37.87,3385600
2025-08-28,39.11,39.45,38.09,39.11,4539500
2025-08-29,38.82,40.64,38.49,38.82,4206700
2025-09-02,38.77,38.8,37.25,38.77,3257500
2025-09-03,39.46,39.87,38.89,39.46,2811400
2025-09-04,38.56,39.49,38.37,38.56,2856900
2025-09-05,38.87,39.28,37.86,38.87,3998900
2025-09-08,39.64,39.78,38.92,39.64,2550600
2025-09-09,40.06,40.48,39.42,40.06,3623100
2025-09-10,40.3,40.92,40.08,40.3,3368400
2025-09-11,40.71,41.13,39.91,40.71,2898000
2025-09-12,40.13,40.54,39.77,40.13,2440200
2025-09-15,43.89,43.89,40.18,43.89,7549800
2025-09-16,42.34,43.94,41.95,42.34,4728400
2025-09-17,42.52,42.74,41.69,42.52,5087500
2025-09-18,43.64,44.08,42.22,43.64,5184100
2025-09-19,47.18,47.24,43.53,47.18,7652700
2025-09-22,48.1,48.45,45.77,48.1,7490900
2025-09-23,48.07,48.57,47.17,48.07,6716800
2025-09-24,46.38,49.05,46.27,46.38,6725800
2025-09-25,46.93,47.18,44.24,46.93,5596900
2025-09-26,46.2,47.7,45.83,46.2,3468400
2025-09-29,46.49,47.45,46.2,46.49,3110100
2025-09-30,45.5,46.64,45.5,45.5,4393200
2025-10-01,46.06,46.51,45.49,46.06,5739900
2025-10-02,47.91,47.96,45.95,47.91,5412400
2025-10-03,47.34,48.23,46.48,47.34,4383200
2025-10-06,48.88,50.25,48.34,48.88,6453200
2025-10-07,48.88,50.85,47.97,48.88,6827900
2025-10-08,48.7,49.79,48.09,48.7,3598900
2025-10-09,49.14,49.98,48.15,49.14,4826300
2025-10-10,49.51,52.91,49.16,49.51,10393300
2025-10-13,52.96,54.55,52.24,52.96,10167200
2025-10-14,54.36,55.86,50.61,54.36,10409500
2025-10-15,55.46,57.75,53.06,55.46,10108700
2025-10-16,53.2,57.04,52.98,53.2,10342500
2025-10-17,50.88,52.4,49.5,50.88,10826900
2025-10-20,50.99,51.92,49.59,50.99,5710600
2025-10-21,47.63,49.89,47.27,47.63,8926000
2025-10-22,46.71,47.35,45,46.71,10410700
2025-10-23,47.66,47.96,46.19,47.66,5705900
2025-10-24,49.15,49.56,48.13,49.15,7204700
2025-10-27,48.45,49.93,47.22,48.45,6155900
2025-10-28,52.51,53.55,50.52,52.51,11733100
2025-10-29,53.9,55.4,52.28,53.9,6867800
2025-10-30,53.63,54.21,52.07,53.63,4906500
2025-10-31,52.61,54.03,51.8,52.61,3744300
2025-11-03,50.18,52.36,50.06,50.18,5524600
2025-11-04,47.46,49.1,47.44,47.46,6739100
2025-11-05,47.76,48.48,47.12,47.76,6458700
2025-11-06,44.99,47.53,44.74,44.99,8395000
2025-11-07,45.64,45.67,42.42,45.64,9283000
2025-11-10,46.67,47.86,45.72,46.67,5641400
2025-11-11,45.28,45.92,44.69,45.28,4048900
2025-11-12,45.47,46.4,44.83,45.47,3571300
2025-11-13,43.27,45.44,42.97,43.27,5815200
2025-11-14,42.71,43.59,40.99,42.71,6922700
2025-11-17,41.73,42.83,41.17,41.73,4260100
2025-11-18,41.74,42.34,40.68,41.74,7124100
2025-11-19,43.08,43.74,41.93,43.08,4452100
2025-11-20,40.19,44.49,40.12,40.19,4707100
2025-11-21,39.7,40.1,38.13,39.7,6643500
2025-11-24,41.32,41.45,39.59,41.32,4847700
2025-11-25,41.91,42.02,40,41.91,4350300
2025-11-26,42.75,42.92,42,42.75,2837500
2025-11-28,43.22,43.48,42.81,43.22,2063100
2025-12-01,42.19,42.95,41.93,42.19,2553400
2025-12-02,43.2,43.7,42.26,43.2,3006800
2025-12-03,44.5,44.53,42.81,44.5,3066600
2025-12-04,46.96,47.29,44.07,46.96,6317300
2025-12-05,45.74,47.24,45.48,45.74,4778700
2025-12-08,45.63,46.18,45.16,45.63,2518400
2025-12-09,45.94,46.37,44.93,45.94,2836700
2025-12-10,45.52,45.82,44.08,45.52,4162100
2025-12-11,46.77,46.92,44.86,46.77,3713400
2025-12-12,43.95,46.88,43.47,43.95,7071500
2025-12-15,42.6,44.88,42.58,42.6,4716300
2025-12-16,42.25,42.84,41.67,42.25,3511200
2025-12-17,40.76,42.67,40.69,40.76,3870100
2025-12-18,41.96,42.22,41.3,41.96,4395900
2025-12-19,43.8,44.28,42.14,43.8,6182000
2025-12-22,44.08,45.14,44.03,44.08,3972200
2025-12-23,44.44,45.14,43.81,44.44,3752000
2025-12-24,44.44,44.55,43.84,44.44,1392900
2025-12-26,43.79,44.43,43.41,43.79,2218400
2025-12-29,43.66,44.81,43.26,43.66,2761900
2025-12-30,42.81,43.8,42.75,42.81,4670600
2025-12-31,42.73,43.23,42.54,42.73,2986600
2026-01-02,46.06,46.21,43.43,46.06,6890600
2026-01-05,48.63,48.77,46.66,48.63,9591800
2026-01-06,49.37,49.6,48.16,49.37,6424400
2026-01-07,49.83,49.9,48.65,49.83,5041200
2026-01-08,49.51,49.73,48.76,49.51,3394600
2026-01-09,50.31,52.79,49.89,50.31,8560500
2026-01-12,51.76,52.05,50.42,51.76,4596100
2026-01-13,50.77,52.25,50.62,50.77,4358500
2026-01-14,52.59,52.98,50.24,52.59,6224000
2026-01-15,52.78,53.93,52.11,52.78,7282000
2026-01-16,54.4,54.91,53,54.4,6690100
2026-01-20,54.12,55.87,53.56,54.12,11129400
2026-01-21,56.15,56.79,54.29,56.15,8429000
2026-01-22,56.56,57.2,55.8,56.56,5864100
2026-01-23,57,57.44,56.15,57,4069100
2026-01-26,54.93,58.95,54.65,54.93,10895600
2026-01-27,57.85,57.99,54.88,57.85,7437000
2026-01-28,61.81,61.82,58.47,61.81,12582900
2026-01-29,59.33,62.28,56.36,59.33,14166800
