Date,Open,High,Low,Close,Volume
2021-01-04,21.935,21.95,21.405,21.575,130280
2021-01-05,21.715,23.035,21.715,22.89,181766
2021-01-06,23.255,23.995,23,23.42,190746
2021-01-07,23.575,24.295,23.47,24.065,137560
2021-01-08,24.245,24.245,22.825,23.225,241472
2021-01-11,22.945,22.975,22.1825,22.65,157514
2021-01-12,22.64,22.75,21.6525,21.6644,110666
2021-01-13,21.815,22.345,21.815,22.2408,103724
2021-01-14,22.57,23.1785,22.5076,23.075,138786
2021-01-15,23.155,23.375,22.31,22.3869,173876
2021-01-19,22.385,22.385,21.6062,21.835,142124
2021-01-20,22.345,22.345,21.8265,22.2458,85516
2021-01-21,22.31,22.34,21.6559,22.065,62138
2021-01-22,21.69,21.69,21.285,21.5,94726
2021-01-25,21.45,21.875,21.415,21.875,69860
2021-01-26,22.1,22.36,21.8172,22.105,57104
2021-01-27,21.625,21.625,21.03,21.0955,88194
2021-01-28,21,21,20.7122,20.9466,70068
2021-01-29,20.68,21.1426,20.34,20.4696,101242
2021-02-01,20.63,22.3725,20.52,22.2458,216214
2021-02-02,22.935,23.2,22.225,22.5182,73080
2021-02-03,22.6,22.9775,22.4309,22.8,90802
2021-02-04,22.895,22.895,22.44,22.525,49760
2021-02-05,22.955,23.645,22.663,23.62,113522
2021-02-08,24.34,25.08,24.325,24.985,159248
2021-02-09,25.695,25.94,25.2401,25.505,135728
2021-02-10,26.345,26.3999,25.39,26.05,161068
2021-02-11,26.14,27.055,25.9,26.25,178892
2021-02-12,26.385,26.745,26.21,26.5,95688
2021-02-16,29.155,29.885,28.0001,29.4,362258
2021-02-17,30.635,30.8349,29.265,30.07,324968
2021-02-18,29.55,29.875,27.335,27.74,317640
2021-02-19,28.185,28.88,27.9001,28.7,238406
2021-02-22,28.725,29.1228,28.55,28.72,264588
2021-02-23,28.53,28.53,26.7,27.925,237330
2021-02-24,27.5,28.165,27.015,28.06,636902
2021-02-25,28.385,28.845,27.7509,28.035,455342
2021-02-26,27.94,27.94,26.225,26.715,424992
2021-03-01,28.055,28.15,27.05,27.365,535406
2021-03-02,27.53,28.79,27.37,28.745,539890
2021-03-03,29.37,30,28.8,29.065,492862
2021-03-04,28.96,28.96,26.6055,27.065,419284
2021-03-05,27.1,27.495,25.325,26.725,389092
2021-03-08,26.85,27.035,26,26.2,159620
2021-03-09,26.815,27.4249,26.7481,27.17,169118
2021-03-10,27.26,27.29,26.515,26.7275,114752
2021-03-11,27.525,27.87,27.125,27.845,276208
2021-03-12,27.66,28.67,27.6501,28.5,115592
2021-03-15,29.13,30.065,28.795,30.065,347474
2021-03-16,30.895,32,30.615,31.335,583584
2021-03-17,31.08,31.3564,30.25,31.245,326946
2021-03-18,31.5,31.92,30.25,30.37,263774
2021-03-19,30.51,30.51,29.385,30.055,205906
2021-03-22,30.43,30.4999,29.86,29.88,201240
2021-03-23,29.88,29.88,28.285,28.395,361484
2021-03-24,28.82,29,28.01,28.29,279332
2021-03-25,28.005,28.05,27.0729,27.955,238048
2021-03-26,28.14,28.98,28,28.75,212416
2021-03-29,28.95,28.95,27.875,28.54,175394
2021-03-30,28.195,28.345,27.6251,28.085,410968
2021-03-31,27.81,28.6096,27.585,27.715,242876
2021-04-01,28.58,29.57,28,29.465,213544
2021-04-05,30.57,31.5,30,31.49,584236
2021-04-06,31.575,32,30.7803,30.98,281676
2021-04-07,31.395,31.64,30.2551,30.5,208090
2021-04-08,30.15,30.995,30.15,30.99,212586
2021-04-09,31.11,31.19,30.53,30.625,130084
2021-04-12,30.625,30.625,29.015,29.2,337070
2021-04-13,28.96,29.225,28.525,28.775,220038
2021-04-14,29.16,29.495,28.5276,28.59,297146
2021-04-15,29.295,29.295,28.4501,28.675,307850
2021-04-16,28.94,29,28.1,28.49,218918
2021-04-19,28.86,28.86,27.66,27.91,199002
2021-04-20,27.97,27.97,26.6783,27.425,211688
2021-04-21,27.515,28.0575,27.4475,28,272700
2021-04-22,28.13,28.13,27.235,27.3,157492
2021-04-23,27.5,27.895,27.4925,27.765,63546
2021-04-26,27.95,28.34,27.95,28.16,239736
2021-04-27,28.1,28.455,28,28.195,175284
2021-04-28,28.36,29.365,28.2,29.33,166248
2021-04-29,29.86,30.14,29.025,29.42,397898
2021-04-30,29.595,29.825,29.2346,29.5,329770
2021-05-03,30.095,31.355,29.925,31.315,417708
2021-05-04,31.49,31.73,31,31.165,374686
2021-05-05,32,32.675,31.505,32.505,323716
2021-05-06,33.22,33.47,32.55,32.975,519340
2021-05-07,33.205,34.3125,32.935,34.285,518110
2021-05-10,34.875,34.875,33.57,33.74,579536
2021-05-11,32.74,33.4,32.13,33.16,432932
2021-05-12,33.5,33.5,31.755,32.14,410848
2021-05-13,31.6,31.975,30.44,30.89,386980
2021-05-14,31.5,32.385,31.24,32.375,286346
2021-05-17,32.875,33.55,32.595,33.1,294746
2021-05-18,33.815,34,33.5,33.605,324158
2021-05-19,33.275,33.42,32.1292,32.75,312168
2021-05-20,33.01,33.1549,32.545,33.05,196804
2021-05-21,33,33.32,32.52,32.52,149436
2021-05-24,32.575,32.7379,32.315,32.48,112990
2021-05-25,32.48,32.48,31.73,31.76,147626
2021-05-26,31.96,32.4845,31.96,32.32,183986
2021-05-27,32.49,33.4999,32.0549,33.28,678978
2021-05-28,33.905,34.0932,32.78,33.155,439020
2021-06-01,33.815,34.555,33.5,34.45,436684
2021-06-02,35.09,35.2475,34.5101,34.595,239244
2021-06-03,34.5,34.665,33.745,34.16,363290
2021-06-04,34.55,35.11,34.315,34.915,260976
2021-06-07,34.98,35.6,34.915,35.415,429936
2021-06-08,35.485,35.5,34.9,35.03,257896
2021-06-09,35.345,35.345,34.55,34.65,281916
2021-06-10,34.955,35.3449,34.5264,35.17,158120
2021-06-11,35.57,35.6343,35.2101,35.325,236252
2021-06-14,35.25,35.2936,32.65,33.27,1010932
2021-06-15,33.5,33.7175,33.05,33.62,310712
2021-06-16,33.7,33.955,33.1912,33.57,206234
2021-06-17,32.92,33.2225,31.1851,31.95,759830
2021-06-18,31.25,31.72,30.75,31,365870
2021-06-21,30.975,31.25,30.3251,31.145,332026
2021-06-22,31.2,31.46,30.82,31.13,299632
2021-06-23,31.22,31.775,31.15,31.37,303638
2021-06-24,31.845,32.4999,31.5775,32.375,280050
2021-06-25,32.66,32.7499,32.11,32.21,334300
2021-06-28,32.13,32.185,31.25,31.35,329852
2021-06-29,31.22,31.695,30.5002,30.575,331306
2021-06-30,30.55,31.4564,30.53,31.265,233388
2021-07-01,31.36,32.05,30.965,31.545,414214
2021-07-02,31.905,31.9999,31.0425,31.315,137246
2021-07-06,31.48,31.6854,30.325,30.61,330358
2021-07-07,30.385,30.56,29.7,30.015,296258
2021-07-08,29.7,29.783,29.005,29.15,305520
2021-07-09,29.475,29.8527,29.205,29.615,174024
2021-07-12,29.415,29.615,29.1703,29.235,187906
2021-07-13,29.055,29.23,28.8208,28.9,221888
2021-07-14,29,29.2418,28.405,28.52,367698
2021-07-15,28.55,28.55,28.0001,28.3,344546
2021-07-16,28.43,28.43,27.3014,27.6,386986
2021-07-19,26.745,26.8757,26,26.325,541890
2021-07-20,26.24,27.31,26.1713,27.165,370330
2021-07-21,27.85,28.72,27.75,28.485,266502
2021-07-22,28.925,29.58,28.095,28.65,173134
2021-07-23,28.745,28.955,28.3473,28.48,91238
2021-07-26,28.58,28.9999,28.375,28.67,134290
2021-07-27,28.69,28.8,28.05,28.245,103750
2021-07-28,28.105,29.6075,28.105,29.36,235106
2021-07-29,29.85,30.2499,29.65,29.975,483706
2021-07-30,29.79,29.95,29.5,29.605,227104
2021-08-02,30,30.07,29.2501,29.495,107626
2021-08-03,29.515,29.515,28.95,29.105,113386
2021-08-04,29.14,29.2425,28.28,28.4,101806
2021-08-05,28.425,28.84,28.215,28.555,57206
2021-08-06,28.465,28.5141,28.04,28.405,59096
2021-08-09,28.15,28.395,27.775,27.855,157170
2021-08-10,27.955,28.6125,27.955,28.55,191382
2021-08-11,28.745,28.75,28.215,28.56,104870
2021-08-12,28.38,28.465,28.08,28.275,113064
2021-08-13,28.08,28.08,27.525,27.615,218882
2021-08-16,27.285,27.285,26.65,26.85,190708
2021-08-17,26.32,26.57,26.01,26.11,225882
2021-08-18,26.115,26.734,26.0358,26.275,106704
2021-08-19,25.87,26.1368,25.3073,25.425,273724
2021-08-20,25.165,25.8,25.165,25.685,178316
2021-08-23,26.535,27.51,26.535,27.48,209188
2021-08-24,28.01,28.27,27.955,28.15,122966
2021-08-25,28.41,28.5,28.2346,28.395,73504
2021-08-26,28.345,28.5306,28.0275,28.065,138892
2021-08-27,28.375,29.3045,28.355,29.205,345442
2021-08-30,29.675,29.95,29.37,29.95,371784
2021-08-31,30.395,31.455,30.395,31.385,261398
2021-09-01,31.825,32.48,31.565,32.48,381236
2021-09-02,33.33,35.425,33.25,35.425,1163892
2021-09-03,37.225,38.435,36.7901,37.475,901454
2021-09-07,38.99,39.43,38.75,39.115,1177802
2021-09-08,39.42,39.4335,37.7331,38.83,533536
2021-09-09,38.56,38.84,37.765,38.21,424706
2021-09-10,39.265,43.1504,38.91,42.355,2099820
