Date,Open,High,Low,Close,Volume
2021-01-04,18.4357,18.84,18.34,18.4357,3548500
2021-01-05,18.0674,18.65,18.085,18.0674,3283300
2021-01-06,18.1669,18.42,17.93,18.1669,4894500
2021-01-07,18.1868,18.65,18.1,18.1868,3248200
2021-01-08,17.9878,18.47,17.88,17.9878,6194900
2021-01-11,17.9977,18.365,17.945,17.9977,3522900
2021-01-12,18.2864,18.44,18.13,18.2864,4936900
2021-01-13,18.6049,18.7,18.14,18.6049,5570400
2021-01-14,18.6945,19,18.6,18.6945,6251700
2021-01-15,19.4212,19.56,18.63,19.4212,4458400
2021-01-19,20.5162,20.64,19.6,20.5162,7240600
2021-01-20,20.6954,21.49,20.62,20.6954,10998700
2021-01-21,20.5162,21.07,20.13,20.5162,6646700
2021-01-22,19.9189,20.68,19.85,19.9189,3341100
2021-01-25,20.1081,20.27,19.68,20.1081,3258100
2021-01-26,20.6157,20.96,20.46,20.6157,4830700
2021-01-27,19.6004,20.32,19.58,19.6004,7543900
2021-01-28,19.9289,20.2,19.37,19.9289,4299100
2021-01-29,20.0284,20.47,19.64,20.0284,4962000
2021-02-01,20.0483,20.63,19.91,20.0483,4228300
2021-02-02,20.0284,20.37,19.98,20.0284,3230300
2021-02-03,19.9986,20.35,19.56,19.9986,2695600
2021-02-04,20.4664,20.58,20.02,20.4664,2044600
2021-02-05,20.8049,21.18,20.61,20.8049,2862100
2021-02-08,21.213,21.31,20.98,21.213,3150900
2021-02-09,20.8049,21.4,20.87,20.8049,1609500
2021-02-10,21.213,21.585,20.69,21.213,2409500
2021-02-11,21.0637,22.43,20.982,21.0637,2739700
2021-02-12,21.3424,21.63,21.03,21.3424,2935400
2021-02-16,21.2031,21.7,21.115,21.2031,3156700
2021-02-17,21.0537,21.27,20.69,21.0537,2536000
2021-02-18,20.9343,21.23,20.68,20.9343,2742200
2021-02-19,21.5316,21.81,21.13,21.5316,3680600
2021-02-22,21.2329,21.789,21.26,21.2329,2835200
2021-02-23,21.6012,21.725,19.9,21.6012,5856800
2021-02-24,20.7053,21.37,19.47,20.7053,9617200
2021-02-25,20.2375,21.4,19.95,20.2375,7092600
2021-02-26,20.8347,21.07,20.215,20.8347,4103400
2021-03-01,21.223,21.54,20.72,21.223,9549700
2021-03-02,20.8547,21.6,20.805,20.8547,4736400
2021-03-03,20.8049,21.39,20.72,20.8049,4456200
2021-03-04,19.9488,21.16,19.21,19.9488,8668900
2021-03-05,19.9587,20.47,18.96,19.9587,7871400
2021-03-08,19.5705,20.49,19.495,19.5705,4648400
2021-03-09,20.118,20.38,19.825,20.118,4125900
2021-03-10,20.5361,20.78,20.185,20.5361,3875500
2021-03-11,21.0737,21.53,20.9,21.0737,5271700
2021-03-12,20.9741,21.41,20.9,20.9741,2404500
2021-03-15,21.0139,21.3,20.89,21.0139,3331500
2021-03-16,20.3271,21.26,20.23,20.3271,3141800
2021-03-17,20.6157,20.79,20.07,20.6157,3053100
2021-03-18,20.1479,20.79,20.21,20.1479,3094600
2021-03-19,20.3569,20.69,19.99,20.3569,4649400
2021-03-22,20.2673,20.57,19.96,20.2673,3272600
2021-03-23,19.4511,20.54,19.475,19.4511,3831200
2021-03-24,19.1126,19.83,19.14,19.1126,2981800
2021-03-25,19.3217,19.48,18.53,19.3217,5115100
2021-03-26,19.4013,19.83,19.275,19.4013,6852400
2021-03-29,19.1923,19.65,19.085,19.1923,4390700
2021-03-30,19.69,19.9,18.91,19.69,7039600
2021-03-31,19.909,20.275,19.72,19.909,3594800
2021-04-01,20.9144,21.02,20.02,20.9144,4111700
2021-04-05,20.8746,21.35,20.8,20.8746,2572200
2021-04-06,21.442,21.61,20.76,21.442,3588800
2021-04-07,21.0737,21.67,21.08,21.0737,2482000
2021-04-08,21.3922,22.11,21.17,21.3922,2850800
2021-04-09,21.3325,21.52,21.23,21.3325,1855300
2021-04-12,21.5017,21.7,21.313,21.5017,1816400
2021-04-13,21.8601,21.97,21.495,21.8601,3224600
2021-04-14,22.0392,22.31,21.97,22.0392,4170700
2021-04-15,22.2981,22.55,22.22,22.2981,6105000
2021-04-16,22.3677,22.725,22.28,22.3677,3932100
2021-04-19,22.1487,22.49,22.11,22.1487,3582300
2021-04-20,21.6809,22.34,21.33,21.6809,4778500
2021-04-21,21.7008,21.925,21.53,21.7008,2333200
2021-04-22,21.87,22.06,21.68,21.87,2973900
2021-04-23,21.6709,22.21,21.75,21.6709,2426500
2021-04-26,22.2981,22.47,21.79,22.2981,4198600
2021-04-27,22.975,23.265,22.21,22.975,4706000
2021-04-28,22.8854,23.16,22.41,22.8854,6045100
2021-04-29,23.1442,23.48,22.89,23.1442,3677800
2021-04-30,22.5967,23.18,22.625,22.5967,2825100
2021-05-03,22.7161,23.02,22.505,22.7161,2853400
2021-05-04,22.4971,22.72,22.29,22.4971,3274200
2021-05-05,22.7858,22.915,22.465,22.7858,2813000
2021-05-06,22.756,23.09,22.385,22.756,2999800
2021-05-07,22.9053,23.14,22.73,22.9053,2921400
2021-05-10,22.5967,23.09,22.58,22.5967,1815000
2021-05-11,22.2582,22.64,22.2,22.2582,1979800
2021-05-12,21.661,22.54,21.73,21.661,2717200
2021-05-13,22.1089,22.45,21.86,22.1089,1967400
2021-05-14,23.2039,23.37,22.22,23.2039,2018600
2021-05-17,23.0247,23.29,22.95,23.0247,2584900
2021-05-18,23.0845,23.635,23.05,23.0845,1826500
2021-05-19,23.3532,23.47,22.63,23.3532,2364500
2021-05-20,23.5424,23.875,23.45,23.5424,2184000
2021-05-21,23.5424,24.015,23.63,23.5424,2348000
2021-05-24,24.2193,24.47,23.679,24.2193,2521200
2021-05-25,24.1595,24.58,24.045,24.1595,3424300
2021-05-26,24.3089,24.67,24.1,24.3089,2441200
