Date,Open,High,Low,Close,Volume
2025-08-06,200.08,207.84,198.45,200.08,7360600
2025-08-07,204.8,210.94,189.27,204.8,8944400
2025-08-08,201.35,208.08,200.92,201.35,4064600
2025-08-11,199.31,205.42,197.93,199.31,3690600
2025-08-12,208.76,209.16,199.72,208.76,4059700
2025-08-13,204.49,212.37,199.52,204.49,4111700
2025-08-14,201.58,207.1,201.52,201.58,3005000
2025-08-15,196.58,203.68,194.06,196.58,4025200
2025-08-18,198.2,198.64,194.55,198.2,2890400
2025-08-19,192.78,197.79,190.48,192.78,3358900
2025-08-20,192.17,192.63,183.15,192.17,5225300
2025-08-21,189.55,195.93,189.27,189.55,3028800
2025-08-22,189.73,194.75,186.42,189.73,3447300
2025-08-25,189.35,193.93,188.58,189.35,2723100
2025-08-26,194.37,194.9,188.63,194.37,3430800
2025-08-27,193.86,196.5,191.54,193.86,2665500
2025-08-28,195.95,200.61,193.88,195.95,3376200
2025-08-29,188.39,194.98,185.97,188.39,3999300
2025-09-02,185.1,186.17,181.39,185.1,4234700
2025-09-03,187.4,187.83,183.63,187.4,2815300
2025-09-04,189,191.38,188.07,189,2771800
2025-09-05,187.28,190.7,177.75,187.28,5199600
2025-09-08,187.29,189.83,183.9,187.29,4153400
2025-09-09,193.04,194.75,188.49,193.04,4451700
2025-09-10,208.41,212.07,199.23,208.41,9715800
2025-09-11,203.27,211.09,202.32,203.27,4408900
2025-09-12,208.9,209.41,201.24,208.9,3824900
2025-09-15,212.7,217.07,208.9,212.7,4750600
2025-09-16,208.63,212.98,206.52,208.63,3828400
2025-09-17,207.51,212.98,203.89,207.51,3468100
2025-09-18,209.36,213.64,207.25,209.36,3589600
2025-09-19,210.7,213.25,204.62,210.7,9188500
2025-09-22,217.32,219.21,207.23,217.32,4819500
2025-09-23,203.68,212.18,202.9,203.68,6525200
2025-09-24,201.5,205.62,201.31,201.5,3844400
2025-09-25,201.06,203.7,195.47,201.06,4262600
2025-09-26,206.65,206.93,200.43,206.65,3096200
2025-09-29,197.4,206.56,197.16,197.4,8373900
2025-09-30,195.38,199.95,190.18,195.38,5828400
2025-10-01,200.96,204.37,191.64,200.96,5387700
2025-10-02,202.09,204.44,198.16,202.09,4224200
2025-10-03,201.43,209.62,200.95,201.43,5306900
2025-10-06,199.86,207.36,196.89,199.86,6019800
2025-10-07,199.07,203.27,195.35,199.07,2865800
2025-10-08,205.98,206.04,199.58,205.98,3706000
2025-10-09,209.42,210.49,204.77,209.42,3796100
2025-10-10,196.32,211.79,196.3,196.32,4388200
2025-10-13,208.97,209.37,199.85,208.97,3868800
2025-10-14,204.94,208.28,200.85,204.94,3088200
2025-10-15,210.27,215.44,205.83,210.27,5412000
2025-10-16,209.82,216.5,208.11,209.82,3562200
2025-10-17,200.8,209.47,199.5,200.8,4004700
2025-10-20,193.71,204.93,192.28,193.71,4058400
2025-10-21,186.01,192.89,185.06,186.01,5781700
2025-10-22,185.32,188.98,179.16,185.32,5344400
2025-10-23,190.84,191.67,185.2,190.84,3033700
2025-10-24,200.92,201.44,194.06,200.92,4787500
2025-10-27,198.75,203.1,195.96,198.75,4539500
2025-10-28,190.07,196.77,183.96,190.07,9390500
2025-10-29,198.82,200.18,188.95,198.82,6158900
2025-10-30,189.19,198.27,188.02,189.19,3805400
2025-10-31,187.78,192.36,183.01,187.78,4231300
2025-11-03,192.51,194.65,187.33,192.51,3585000
2025-11-04,185.23,190.96,183.99,185.23,3805000
2025-11-05,188.87,191.95,184.42,188.87,3547000
2025-11-06,184.11,188.6,179.04,184.11,6543600
2025-11-07,190.47,190.55,176.11,190.47,5805300
2025-11-10,187.76,196.26,183.65,187.76,4273700
2025-11-11,178.67,187.42,178.32,178.67,4542600
2025-11-12,177.78,180.8,176.8,177.78,4252100
2025-11-13,171.09,177.47,170.05,171.09,5467400
2025-11-14,174.21,179.5,165.12,174.21,5484400
2025-11-17,174.52,179.03,172.64,174.52,3108600
2025-11-18,173.94,176.93,170.19,173.94,3279100
2025-11-19,178.65,181,173.74,178.65,3384400
2025-11-20,173.31,188.77,172.65,173.31,4271500
2025-11-21,168.13,173.2,161.99,168.13,6303800
2025-11-24,174.66,174.72,165.44,174.66,5750900
2025-11-25,170.37,174.25,165.45,170.37,3865100
2025-11-26,176.31,177.26,172.61,176.31,2937800
2025-11-28,178.37,180.27,177.52,178.37,1908400
2025-12-01,173.16,175.99,172.21,173.16,3251000
2025-12-02,172.08,175.47,170.89,172.08,3029200
2025-12-03,171.18,173.37,168.48,171.18,2492600
2025-12-04,175.59,177.56,170,175.59,3408700
2025-12-05,166.71,176.14,166.01,166.71,4524300
2025-12-08,165.66,167.36,163.61,165.66,4230200
2025-12-09,164.36,169.44,164.28,164.36,3939500
2025-12-10,164.72,165.56,158.21,164.72,5778100
2025-12-11,174.12,174.41,160.57,174.12,6197100
2025-12-12,169.63,179.5,167.04,169.63,5870200
2025-12-15,167.79,172.52,166.52,167.79,4287400
2025-12-16,172.97,173.45,166.09,172.97,4190100
2025-12-17,159.53,174.66,158.26,159.53,6902900
2025-12-18,165.71,171.45,162.22,165.71,7652500
2025-12-19,162.58,170.94,162.25,162.58,7141800
2025-12-22,161.35,164.09,160.63,161.35,4379200
2025-12-23,161.45,163.48,159.91,161.45,3772000
2025-12-24,161.74,162.36,159.55,161.74,1342200
2025-12-26,161.45,162.78,160.13,161.45,2317500
2025-12-29,161.62,163.98,159.71,161.62,2856100
2025-12-30,162.4,162.84,160.84,162.4,2220600
2025-12-31,161.11,164.28,161,161.11,1845100
