Date,Open,High,Low,Close,Volume
2025-08-06,73.6,76.27,73.33,73.6,7647000
2025-08-07,74.26,74.43,73.26,74.26,6938300
2025-08-08,74.79,75.61,74.31,74.79,4983600
2025-08-11,74.46,76.48,74.19,74.46,7304300
2025-08-12,75.72,75.74,74.44,75.72,7694700
2025-08-13,75.88,76.99,75.49,75.88,5298600
2025-08-14,76.05,76.42,74.54,76.05,6621400
2025-08-15,74.88,76.39,74.36,74.88,4258400
2025-08-18,76.1,76.23,74.45,76.1,5191900
2025-08-19,75.67,76.27,74.93,75.67,3770800
2025-08-20,75.46,75.5,72.96,75.46,5478100
2025-08-21,74.48,75.81,74.24,74.48,5490400
2025-08-22,76.78,77.16,74.39,76.78,6521300
2025-08-25,79.03,79.64,76.51,79.03,5401400
2025-08-26,79.52,80.1,78.91,79.52,8724600
2025-08-27,80.47,80.6,79.36,80.47,5536600
2025-08-28,81.84,81.96,80.5,81.84,4557500
2025-08-29,80.14,82.12,79.61,80.14,5004400
2025-09-02,81.71,81.74,77.71,81.71,5777800
2025-09-03,85.79,86.07,83.14,85.79,12194800
2025-09-04,90.37,90.78,85.81,90.37,13542500
2025-09-05,91.92,92.98,91.31,91.92,20310400
2025-09-08,93.17,93.38,91.53,93.17,8499400
2025-09-09,94.42,95.25,92.58,94.42,7195000
2025-09-10,94.9,96.06,93.8,94.9,8398400
2025-09-11,96.03,97.65,94.29,96.03,6985100
2025-09-12,97.53,98.73,95.86,97.53,6753100
2025-09-15,102.26,103.65,99.87,102.26,12523300
2025-09-16,102.96,103.85,101.31,102.96,8734900
2025-09-17,100.81,102.27,99.59,100.81,8787600
2025-09-18,105.02,105.97,101.87,105.02,10389100
2025-09-19,106.49,107.04,105.19,106.49,11030700
2025-09-22,112.27,112.69,107.07,112.27,9686300
2025-09-23,110.11,113.61,109.26,110.11,7375500
2025-09-24,109.55,112.67,108.77,109.55,8412700
2025-09-25,107.07,108.56,106.15,107.07,8499400
2025-09-26,106.74,107.92,105.28,106.74,5520000
2025-09-29,116.59,117.99,111.69,116.59,14023900
2025-09-30,119.91,122.43,117.3,119.91,13861700
2025-10-01,130.42,130.95,117.36,130.42,18540400
2025-10-02,131.09,137.22,128.27,131.09,15306200
2025-10-03,131.14,136.05,129.76,131.14,8465900
2025-10-06,125.12,136.03,124.78,125.12,13060300
2025-10-07,119.78,127.48,117.66,119.78,13674300
2025-10-08,121.02,123.14,119.26,121.02,7191700
2025-10-09,119.55,120.69,117.85,119.55,6234300
2025-10-10,115.27,121.79,114.88,115.27,7046200
2025-10-13,118.71,122.4,115.86,118.71,8388900
2025-10-14,112.99,117.13,112.38,112.99,7844200
2025-10-15,120.29,120.49,113.35,120.29,9943300
2025-10-16,125.76,130.23,122.24,125.76,13878600
2025-10-17,126.04,128.95,123.29,126.04,6868400
2025-10-20,121.37,131.83,119.7,121.37,10172200
2025-10-21,121.25,121.83,119.45,121.25,4594400
2025-10-22,120.32,124.96,117.08,120.32,9033800
2025-10-23,125.56,126.56,121.56,125.56,7263500
