Date,Open,High,Low,Close,Volume
2021-01-04,196.09,200.495,192.52,196.09,3510700
2021-01-05,193.48,197.94,189.54,193.48,2365500
2021-01-06,184.42,190.3,183.25,184.42,2131100
2021-01-07,193.05,193.7,185.28,193.05,1734600
2021-01-08,197.37,199.95,194.1,197.37,2024800
2021-01-11,198.7,204.99,191.6,198.7,2493900
2021-01-12,205.9,206.5,200.01,205.9,2115800
2021-01-13,207.08,214.83,206.49,207.08,3481200
2021-01-14,209.87,213.57,207.46,209.87,1594300
2021-01-15,211.06,213.927,207.33,211.06,2009000
2021-01-19,212,217.151,208.37,212,1643200
2021-01-20,214.76,217.45,212.53,214.76,1641200
2021-01-21,213.63,218,211.535,213.63,1196100
2021-01-22,217.36,217.73,211.06,217.36,1446300
2021-01-25,207.66,224,206,207.66,2885600
2021-01-26,197,209.85,196.53,197,3030400
2021-01-27,199.22,203.3,187.76,199.22,2640000
2021-01-28,206.28,208.2,199.22,206.28,1489600
2021-01-29,199.7,205.04,196.8,199.7,1746600
2021-02-01,204.47,206.85,199.93,204.47,1434800
2021-02-02,216.71,217.44,207.06,216.71,1892500
2021-02-03,209.56,218.21,207.059,209.56,2395900
2021-02-04,213.75,214.245,207.33,213.75,1235900
2021-02-05,216.78,219.99,211.88,216.78,2018400
2021-02-08,215.87,221.25,214.08,215.87,1162700
2021-02-09,220,220.85,215.99,220,1115500
2021-02-10,223.09,224.49,216.488,223.09,2138900
2021-02-11,222.89,227.04,217.97,222.89,1486100
2021-02-12,226.48,228.38,221.581,226.48,1522600
2021-02-16,223.63,230.881,217.75,223.63,1919500
2021-02-17,224.83,225.9,217.665,224.83,1471300
2021-02-18,223.38,224.2,216.2,223.38,1418800
2021-02-19,226.03,228.09,223.41,226.03,1486800
2021-02-22,213.45,225.25,212.9,213.45,2424000
2021-02-23,206.51,206.84,190.6,206.51,3704100
2021-02-24,207.81,210.79,203.55,207.81,1684100
2021-02-25,195.79,210.91,194.34,195.79,2557500
2021-02-26,205.03,224.08,197.082,205.03,3721700
2021-03-01,210.16,211.14,202.18,210.16,1917300
2021-03-02,202.61,212,202.27,202.61,1788600
2021-03-03,187.83,202.12,187.46,187.83,2703800
2021-03-04,180.9,190.96,175.68,180.9,3184300
2021-03-05,175.37,185.54,165.57,175.37,3941600
2021-03-08,167.84,181.7,166.886,167.84,2751300
2021-03-09,181.43,182.79,175,181.43,2824700
2021-03-10,180.07,188.98,178.81,180.07,2427300
2021-03-11,188.87,189.75,183.09,188.87,2080600
2021-03-12,184.61,185.21,179.88,184.61,1521400
2021-03-15,184.27,185,180.55,184.27,1435000
2021-03-16,182.18,187.92,178.023,182.18,2178800
2021-03-17,185.33,188.49,177,185.33,2333000
2021-03-18,178.21,184.67,177.4,178.21,2675400
2021-03-19,181.56,182.03,175.75,181.56,2320400
2021-03-22,182.61,185.16,181.4,182.61,1710900
2021-03-23,183,185.45,180,183,1619800
2021-03-24,175.1,186.4,174.99,175.1,2133800
2021-03-25,172.85,175.3,168.4,172.85,1557200
2021-03-26,169.78,174,164.67,169.78,1816700
2021-03-29,165.75,174.86,163.45,165.75,2372300
2021-03-30,165.79,166.86,160.659,165.79,1336000
2021-03-31,171.67,173.17,167.2,171.67,1918800
2021-04-01,175.77,180,174.3,175.77,2097400
2021-04-05,175.19,178.95,172.32,175.19,1368500
2021-04-06,182.12,184.96,173.53,182.12,2282700
2021-04-07,180.02,183.32,179,180.02,1242100
2021-04-08,185.19,187.17,181.8,185.19,1926400
2021-04-09,185.04,185.26,180.873,185.04,1122700
2021-04-12,188.38,189.5,183.55,188.38,2056700
2021-04-13,196.65,199.5,189.59,196.65,2487400
2021-04-14,192.39,198.9,192.08,192.39,1369100
2021-04-15,195.92,197.52,193.038,195.92,1258900
2021-04-16,192.49,196.81,189.74,192.49,1319100
2021-04-19,190.94,195.71,189.2,190.94,919500
2021-04-20,186.08,194.79,185.07,186.08,1119600
2021-04-21,186.12,188.46,181.43,186.12,1057200
2021-04-22,190.03,194.25,185.75,190.03,1827400
2021-04-23,190.26,194.22,188.55,190.26,1496400
2021-04-26,196.69,196.78,188.72,196.69,1319100
2021-04-27,195.93,199.5,193.896,195.93,1365900
2021-04-28,195.42,198,192.51,195.42,2200000
2021-04-29,187.28,196.29,185.2,187.28,2168500
2021-04-30,187.64,191.48,184.4,187.64,1174800
2021-05-03,180.59,188.22,179.6,180.59,2060500
2021-05-04,175.48,177.735,169.36,175.48,2196200
2021-05-05,172.3,179.54,171.03,172.3,968300
2021-05-06,167.35,172.49,163.5,167.35,2067900
2021-05-07,169.32,174,168.24,169.32,1524400
2021-05-10,165.77,169.32,164.77,165.77,1924500
2021-05-11,170.69,172.28,157.03,170.69,2774200
2021-05-12,164.08,169.52,160.91,164.08,2069800
2021-05-13,160.92,167.92,158.47,160.92,1913000
2021-05-14,165.34,166.16,161.63,165.34,1431000
2021-05-17,163.28,166.89,160.7,163.28,1374100
2021-05-18,166.5,168.754,163.23,166.5,2239300
2021-05-19,164.81,166.47,161.39,164.81,1893700
2021-05-20,170.73,171.953,165.92,170.73,1897200
2021-05-21,170.08,175,169.9,170.08,1759500
2021-05-24,174.4,175.95,172.139,174.4,2361600
2021-05-25,172.74,176.035,170.31,172.74,3323200
2021-05-26,194.2,199.77,191.5,194.2,7966000
2021-05-27,194.26,196.3,188.02,194.26,3949300
2021-05-28,194.2,197.69,193.94,194.2,1949100
2021-06-01,191.77,195.95,190.05,191.77,1445100
2021-06-02,191.34,193.16,189.03,191.34,1287800
2021-06-03,184.25,190.46,183.95,184.25,1656500
