date,open,high,low,close,volume
2025-05-12,321.98999,322.209991,311.5,318.380005,112826700
2025-05-13,320,337.589996,316.799988,334.070007,136992600
2025-05-14,342.5,350,337,347.679993,136997300
2025-05-15,340.339996,346.140015,334.720001,342.820007,97882600
2025-05-16,346.23999,351.619995,342.329987,349.980011,95895700
2025-05-19,336.299988,343,333.369995,342.089996,88869900
2025-05-20,347.869995,354.98999,341.630005,343.820007,131715500
2025-05-21,344.429993,347.350006,332.200012,334.619995,102354800
2025-05-22,331.899994,347.269989,331.390015,341.040009,97113400
2025-05-23,337.920013,343.179993,333.209991,339.339996,84654800
2025-05-27,347.350006,363.790009,347.320007,362.890015,120146400
2025-05-28,364.839996,365,355.910004,356.899994,91404300
2025-05-29,365.290009,367.709991,356,358.429993,88087800
2025-05-30,355.519989,363.679993,345.290009,346.459991,123474900
2025-06-02,343.5,348.019989,333.329987,342.690002,81873800
2025-06-03,346.600006,355.399994,343.040009,344.269989,99324500
2025-06-04,345.100006,345.600006,327.329987,332.049988,98912100
2025-06-05,322.48999,324.549988,273.209991,284.700012,287499800
2025-06-06,298.829987,305.5,291.140015,295.140015,164747700
2025-06-09,285.959991,309.829987,281.850006,308.579987,140908900
2025-06-10,314.940002,327.829987,310.670013,326.089996,151256500
2025-06-11,334.399994,335.5,322.5,326.429993,122611400
2025-06-12,323.079987,332.559998,316.859985,319.109985,105127500
2025-06-13,313.970001,332.98999,313.299988,325.309998,128964300
2025-06-16,331.290009,332.049988,326.410004,329.130005,83925900
2025-06-17,326.089996,327.26001,314.73999,316.350006,88282700
2025-06-18,317.309998,329.320007,315.450012,322.049988,95137700
2025-06-20,327.950012,332.359985,317.779999,322.160004,108688000
2025-06-23,327.540009,357.540009,327.480011,348.679993,190716800
2025-06-24,356.170013,356.26001,340.440002,340.470001,114736200
2025-06-25,342.700012,343,320.399994,327.549988,119845100
2025-06-26,324.609985,331.049988,323.609985,325.779999,80440900
2025-06-27,324.51001,329.339996,317.5,323.630005,89067000
2025-06-30,319.899994,325.579987,316.600006,317.660004,76695100
2025-07-01,298.459991,305.890015,293.209991,300.709991,145085700
2025-07-02,312.630005,316.829987,303.820007,315.649994,119483700
2025-07-03,317.98999,318.450012,312.76001,315.350006,58042300
2025-07-07,291.369995,296.149994,288.769989,293.940002,131177900
2025-07-08,297,304.049988,294.350006,297.809998,103246700
2025-07-09,297.549988,300.149994,293.549988,295.880005,75586800
2025-07-10,300.049988,310.480011,300,309.869995,104365300
2025-07-11,307.890015,314.089996,305.649994,313.51001,79236400
2025-07-14,317.730011,322.600006,312.670013,316.899994,78043400
2025-07-15,319.679993,321.200012,310.5,310.779999,77556300
2025-07-16,312.799988,323.5,312.619995,321.670013,97284800
2025-07-17,323.149994,324.339996,317.059998,319.410004,73922900
2025-07-18,321.660004,330.899994,321.420013,329.649994,94255000
2025-07-21,334.399994,338,326.880005,328.48999,75768800
2025-07-22,329.73999,335.410004,321.549988,332.109985,77370400
2025-07-23,330.899994,336.200012,328.670013,332.559998,92553800
2025-07-24,310,310.149994,300.410004,305.299988,156966000
2025-07-25,308.73999,323.630005,308.01001,316.059998,148227000
2025-07-28,318.450012,330.48999,315.690002,325.589996,112673800
2025-07-29,325.549988,326.25,318.25,321.200012,87358900
2025-07-30,322.179993,324.450012,311.619995,319.040009,83931900
2025-07-31,319.609985,321.369995,306.100006,308.269989,85270900
2025-08-01,306.209991,309.309998,297.820007,302.630005,89121400
2025-08-04,309.079987,312.119995,303,309.26001,78683900
2025-08-05,308.950012,312.450012,305.5,308.720001,57961300
2025-08-06,307.890015,320.470001,306.929993,319.910004,78523600
2025-08-07,319.790009,322.399994,316.160004,322.269989,66658700
2025-08-08,321.429993,335.149994,320.980011,329.649994,91200300
2025-08-11,335,346.640015,334.149994,339.029999,105320200
2025-08-12,345,345.26001,332.940002,340.839996,80522100
2025-08-13,341.5,348.980011,338.200012,339.380005,67838900
2025-08-14,335.76001,340.470001,330.399994,335.579987,75000700
2025-08-15,337.660004,339.299988,327.019989,330.559998,74319800
2025-08-18,329.619995,336.269989,329.589996,335.160004,56956600
2025-08-19,335.790009,340.549988,327.850006,329.309998,75956000
2025-08-20,329.220001,331.369995,314.600006,323.899994,77481800
2025-08-21,322.079987,324.899994,318.679993,320.109985,55744400
2025-08-22,321.660004,340.25,319.690002,340.01001,94016300
2025-08-25,338.899994,349.529999,335.029999,346.600006,86670000
2025-08-26,344.929993,351.899994,343.720001,351.670013,76651600
2025-08-27,351.940002,355.390015,349.160004,349.600006,65519000
2025-08-28,350.910004,353.549988,340.26001,345.980011,67903200
2025-08-29,347.230011,348.75,331.700012,333.869995,81145700
2025-09-02,328.230011,333.329987,325.600006,329.359985,58392000
2025-09-03,335.200012,343.329987,328.51001,334.089996,88733300
2025-09-04,336.149994,338.890015,331.480011,338.529999,60711000
